Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
1824,202,91.229,117.002,95.505,108.054,97.93,91.753,397553.759,6536.643,367.573,7648.185,324.446,0.78,0.844,0.713,0.937,0.608,0.855,0.145,0.883,0.633,2635249162147180032,0.219,0,26146.57,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.131,0.884,30592.741,1.067,133.457,48.979,18.363333333333333,1
3920,348,79.035,109.685,83.322,99.7,87.563,80.17,258496.56,4905.997,344.585,5807.644,287.454,0.721,0.793,0.628,0.916,0.519,0.845,0.155,0.834,0.591,3644130942583490048,0.314,0,19623.989,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.197,0.836,23230.575,1.092,134.377,36.509,18.363333333333333,1
2288,230,89.401,137.882,83.101,148.252,165.327,64.848,374138.469,6277.389,433.168,8808.436,379.761,0.648,0.603,0.364,0.392,0.42,0.713,0.287,0.877,0.51,2635570356962599936,0.21,0,25109.556,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.784,0.561,35233.743,2.549,180.744,34.731,18.363333333333333,1
1303,172,85.351,99.931,82.446,101.719,93.084,79.827,325549.588,5721.399,313.944,6142.652,288.293,0.854,0.839,0.704,0.858,0.729,0.931,0.069,0.918,0.682,2797695469131509760,0.243,0,22885.595,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.234,0.811,24570.609,1.166,94.98,60.238,18.363333333333333,1
837,150,90.169,132.818,81.768,135.631,134.04,69.514,383853.784,6385.595,417.259,8159.984,350.746,0.679,0.665,0.442,0.519,0.461,0.783,0.217,0.841,0.576,2635289443708579840,0.379,0,25542.38,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.659,0.603,32639.936,1.928,169.657,37.638,18.363333333333333,1
1094,163,88.536,123.539,79.418,125.515,122.871,71.803,363382.343,6156.492,388.111,7359.125,324.549,0.717,0.705,0.498,0.584,0.514,0.837,0.163,0.836,0.618,2637500953335240192,0.361,0,24625.968,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.58,0.633,29436.499,1.711,152.215,40.446,18.363333333333333,1
3746,319,77.682,95.527,78.599,90.176,82.876,79.788,245450.402,4739.508,300.107,5257.783,268.918,0.813,0.861,0.742,0.963,0.661,0.901,0.099,0.896,0.669,2777143817737679872,0.226,0,18958.032,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.147,0.872,21031.134,1.039,102.151,46.397,18.363333333333333,1
2276,229,98.78,131.638,77.474,130.636,136.848,75.899,504663.091,7663.465,413.552,8568.997,350.977,0.75,0.756,0.572,0.555,0.563,0.894,0.106,0.849,0.757,3788170727806049792,0.231,0,30653.86,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.686,0.593,34275.99,1.803,156.388,49.003,18.363333333333333,1
3832,333,83.054,101.348,77.114,104.73,99.487,73.527,299976.367,5417.707,318.396,5854.227,285.136,0.819,0.793,0.629,0.739,0.672,0.925,0.075,0.896,0.671,3644059876725210112,0.283,0,21670.828,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.358,0.736,23416.908,1.353,106.742,50.755,18.363333333333333,1
3645,307,76.63,87.383,76.727,88.508,81.863,73.236,235608.309,4611.949,274.521,4989.084,257.002,0.877,0.866,0.75,0.895,0.769,0.924,0.076,0.936,0.679,2655872144441710080,0.216,0,18447.796,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.154,0.867,19956.337,1.118,0,0,18.363333333333333,1
3834,334,87.558,95.9,76.024,101.447,101.06,76.205,351464.963,6021.141,301.28,6161.352,285.561,0.913,0.863,0.745,0.754,0.834,0.977,0.023,0.948,0.781,3659821985624039936,0.22,0,24084.564,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.334,0.749,24645.409,1.326,0,0,18.363333333333333,1
2314,232,67.011,97.789,74.999,91.717,90.602,70.026,157555.708,3526.795,307.214,4782.391,264.718,0.685,0.731,0.534,0.773,0.47,0.737,0.263,0.862,0.513,2635284407569419776,0.262,0,14107.18,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.223,0.818,19129.565,1.294,123.904,28.464,18.363333333333333,1
