Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
4407,225,78.309,107.134,81.593,109.343,99.778,74.43,251439.153,4816.291,336.571,6062.157,301.135,0.731,0.716,0.513,0.746,0.534,0.794,0.206,0.895,0.54,3644056028551980032,0.275,0,19265.164,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.34,0.746,24248.626,1.341,129.829,37.097,0.0,0
5005,235,103.816,152.308,78.242,165.96,176.238,71.725,585862.424,8464.889,478.49,10265.203,408.118,0.682,0.626,0.391,0.407,0.465,0.825,0.175,0.853,0.652,2637505919428960256,0.277,0,33859.555,Accept,Reject,Reject,Reject,Reject,Reject,Reject,2.121,0.471,41060.813,2.457,194.45,43.533,0.0,0
5742,246,86.237,143.299,74.276,132.32,139.357,67.411,335801.182,5840.889,450.188,7291.412,340.601,0.602,0.652,0.425,0.484,0.362,0.801,0.199,0.757,0.594,3644055470052839936,0.28,0,23363.555,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.781,0.561,29165.648,2.067,193.715,30.152,0.0,0
2160,162,79.514,101.215,74.087,99.375,95.37,67.152,263226.062,4965.657,317.976,5389.77,270.495,0.786,0.8,0.64,0.704,0.617,0.921,0.079,0.851,0.674,3808437406192410112,0.31,0,19862.629,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.341,0.746,21559.078,1.42,113.766,43.648,0.0,0
2283,164,78.393,87.208,73.793,90.689,84.79,73.236,252253.237,4826.681,273.973,5089.451,258.449,0.899,0.864,0.747,0.864,0.808,0.948,0.052,0.943,0.721,3808722739006380032,0.299,0,19306.725,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.229,0.814,20357.803,1.158,0,0,0.0,0
5120,235,72.47,87.98,72.326,80.701,74.905,70.352,199288.396,4124.888,276.396,4362.718,237.007,0.824,0.898,0.806,0.939,0.679,0.945,0.055,0.857,0.707,3950093537486119936,0.334,0,16499.551,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.116,0.896,17450.873,1.065,91.559,45.052,0.0,0
9819,360,76.399,81.945,72.004,85.615,82.689,71.606,233489.49,4584.257,257.437,4714.223,248.619,0.932,0.892,0.796,0.866,0.869,0.972,0.028,0.966,0.744,2635531178138509824,0.231,0,18337.03,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.189,0.841,18856.89,1.155,0,0,0.0,0
1614,154,72.34,80.52,70.693,79.899,75.131,70.043,198214.682,4110.058,252.962,4251.291,234.596,0.898,0.905,0.82,0.932,0.807,0.967,0.033,0.927,0.728,2635249214590360064,0.272,0,16440.233,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.13,0.885,17005.162,1.073,0,0,0.0,0
8858,333,74.913,84.29,70.58,83.709,80.047,70.361,220124.06,4407.603,264.805,4556.778,242.552,0.889,0.895,0.801,0.879,0.79,0.967,0.033,0.916,0.746,3806189531911819776,0.282,0,17630.411,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.186,0.843,18227.112,1.138,0,0,0.0,0
8942,335,71.68,78.43,69.827,80.403,76.199,67.955,192838.494,4035.401,246.395,4154.052,232.149,0.914,0.892,0.795,0.892,0.835,0.971,0.029,0.942,0.719,2635249222123590144,0.225,0,16141.603,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.151,0.868,16616.208,1.121,0,0,0.0,0
2697,173,74.301,94.114,69.793,89.372,84.231,68.149,214772.929,4335.879,295.669,4728.476,253.952,0.789,0.831,0.691,0.809,0.623,0.917,0.083,0.859,0.695,3770156809391280128,0.272,0,17343.516,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.281,0.781,18913.902,1.236,105.146,41.237,0.0,0
4238,219,73.674,85.57,69.714,87.935,82.336,66.723,209382.413,4263.022,268.826,4490.897,245.503,0.861,0.838,0.702,0.81,0.741,0.949,0.051,0.913,0.695,3788426381458549760,0.272,0,17052.09,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.261,0.793,17963.586,1.234,77.811,54.787,0.0,0
8580,321,75.895,100.143,69.364,101.067,99.106,63.822,228895.182,4523.923,314.609,5176.091,270.338,0.758,0.751,0.564,0.644,0.574,0.874,0.126,0.859,0.645,2635280009508040192,0.29,0,18095.693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.457,0.686,20704.364,1.553,117.241,38.587,0.0,0
2877,178,71.917,81.211,68.956,80.532,74.283,70.266,194755.873,4062.105,255.133,4213.954,234.652,0.886,0.893,0.797,0.946,0.784,0.964,0.036,0.92,0.732,3644055539593849856,0.26,0,16248.42,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.168,0.856,16855.817,1.057,0,0,0.0,0
