Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
2966	150	395.289	841.622	375.143	514.872	473.644	371.279	32340099.279	122720.860	2644.034	145923.674	1448.384	0.470	0.768	0.589	0.784	0.221	0.841	0.159	0.548	0.635	5.1060756765711462E18	0.240	0.000	490883.440	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.372	0.729	583694.696	1.276
4582	235	173.582	224.557	159.740	225.318	224.493	143.504	2738494.105	23664.573	705.467	27434.302	626.947	0.773	0.770	0.593	0.639	0.598	0.863	0.137	0.889	0.657	2.6375054201034E18	0.230	0.000	94658.293	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.411	0.709	109737.210	1.564
2169	148	158.852	188.774	142.365	185.108	187.479	136.764	2098834.131	19818.747	593.050	21389.702	533.546	0.841	0.858	0.736	0.729	0.708	0.927	0.073	0.900	0.752	2.9646145455682778E18	0.198	0.000	79274.990	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.300	0.769	85558.809	1.371
2914	150	154.478	244.085	122.588	249.865	234.009	110.139	1930170.324	18742.230	766.816	22531.761	609.340	0.633	0.618	0.382	0.471	0.401	0.832	0.168	0.795	0.612	3.8061845067499866E18	0.236	0.000	74968.919	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.038	0.491	90127.043	2.125
3522	191	127.025	142.402	122.841	141.070	133.147	122.746	1073165.303	12672.683	447.370	13227.453	421.202	0.892	0.900	0.811	0.922	0.796	0.958	0.042	0.942	0.731	2.6352849585521117E18	0.164	0.000	50690.733	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.148	0.871	52909.810	1.085
8502	376	114.307	134.633	110.375	133.356	124.431	107.959	782014.227	10262.044	422.961	11265.155	388.615	0.849	0.857	0.735	0.868	0.721	0.911	0.089	0.919	0.697	2.637831434828097E18	0.162	0.000	41048.177	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.208	0.828	45060.620	1.153
6107	282	110.798	143.089	92.166	160.645	156.712	86.308	712179.255	9641.627	449.529	10979.800	413.579	0.774	0.690	0.476	0.551	0.600	0.878	0.122	0.920	0.651	3.6624317648618688E18	0.167	0.000	38566.507	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.743	0.574	43919.198	1.816
3115	151	108.430	129.726	95.414	145.321	140.072	86.606	667498.487	9234.024	407.547	10093.774	380.216	0.836	0.746	0.557	0.618	0.699	0.915	0.085	0.933	0.666	2.7793995258350608E18	0.208	0.000	36936.097	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.523	0.657	40375.095	1.617
6872	308	108.032	136.198	100.335	136.586	130.966	91.720	660173.465	9166.344	427.877	9648.462	367.358	0.793	0.791	0.626	0.700	0.629	0.950	0.050	0.859	0.669	2.7636017611552374E18	0.206	0.000	36665.376	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.361	0.735	38593.847	1.428
1187	120	102.329	145.521	70.849	165.518	165.432	64.238	561046.068	8224.127	457.167	8994.510	390.704	0.703	0.618	0.382	0.388	0.494	0.914	0.086	0.855	0.701	3.7907440746392589E18	0.284	0.000	32896.508	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.336	0.428	35978.042	2.575
8381	375	102.019	134.374	93.592	135.735	129.594	86.485	555952.612	8174.276	422.150	9158.721	361.271	0.759	0.752	0.565	0.667	0.576	0.893	0.107	0.856	0.643	2.6355318066967168E18	0.246	0.000	32697.104	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.450	0.690	36634.885	1.498
