Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
936	184	54.944	76.788	44.411	84.321	80.847	41.979	86847.559	2370.987	241.237	2758.320	208.113	0.716	0.652	0.425	0.519	0.512	0.860	0.140	0.863	0.633	3.6623569196355603E18	0.381	0.000	9483.949	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.899	0.527	11033.281	1.926
2225	216	51.021	70.809	38.150	78.304	83.949	33.780	69542.551	2044.519	222.455	2422.330	194.659	0.721	0.652	0.425	0.402	0.519	0.844	0.156	0.875	0.684	3.7724130942628851E18	0.319	0.000	8178.078	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.053	0.487	9689.318	2.485
1987	216	47.984	71.557	42.742	80.286	84.666	35.491	57848.287	1808.358	224.804	2397.498	203.176	0.671	0.598	0.357	0.419	0.450	0.754	0.246	0.904	0.527	3.6623921824249235E18	0.400	0.000	7233.433	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.878	0.532	9589.992	2.386
2255	216	47.970	60.412	43.691	69.270	64.298	39.465	57798.073	1807.312	189.789	2045.473	175.683	0.794	0.693	0.480	0.614	0.631	0.884	0.116	0.926	0.597	3.7884923447724141E18	0.277	0.000	7229.247	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.585	0.631	8181.890	1.629
4008	279	46.978	49.931	43.605	56.803	52.537	42.535	54285.489	1733.325	156.863	1779.003	154.263	0.941	0.827	0.684	0.810	0.885	0.974	0.026	0.983	0.700	2.6375367057380624E18	0.249	0.000	6933.299	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.303	0.768	7116.011	1.235
1607	216	46.720	64.923	37.213	75.993	87.195	31.566	53395.286	1714.323	203.962	2235.102	190.175	0.720	0.615	0.378	0.362	0.518	0.767	0.233	0.932	0.606	2.6532994345076515E18	0.301	0.000	6857.293	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.042	0.490	8940.408	2.762
2250	216	46.015	55.919	41.906	58.502	52.891	42.023	51015.931	1663.009	175.673	1861.815	160.035	0.823	0.787	0.619	0.795	0.677	0.893	0.107	0.911	0.678	3.6441353426746554E18	0.294	0.000	6652.037	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.396	0.716	7447.262	1.259
445	164	45.923	54.873	39.539	61.770	57.752	38.592	50709.266	1656.338	172.387	1765.955	163.834	0.837	0.743	0.553	0.668	0.700	0.938	0.062	0.950	0.678	2.6352491543266118E18	0.279	0.000	6625.353	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.562	0.640	7063.820	1.496
2819	239	45.652	50.982	42.388	57.440	54.387	40.230	49815.830	1636.825	160.165	1727.580	155.078	0.895	0.795	0.632	0.740	0.802	0.947	0.053	0.968	0.672	2.6375015729202323E18	0.214	0.000	6547.302	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.355	0.738	6910.321	1.352
258	155	45.400	51.740	44.666	49.170	47.178	43.737	48996.293	1618.824	162.545	1704.153	147.610	0.877	0.923	0.853	0.927	0.770	0.950	0.050	0.908	0.737	3.7904274240193318E18	0.304	0.000	6475.295	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.101	0.908	6816.613	1.079
