Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
1091	216	98.798	138.579	70.081	145.969	158.648	69.221	504941.320	7666.281	435.360	8978.317	377.108	0.713	0.677	0.458	0.436	0.508	0.854	0.146	0.866	0.749	3.7907397453313325E18	0.243	0.000	30665.124	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.083	0.480	35913.266	2.292
1287	245	96.219	116.490	69.319	138.533	137.950	69.063	466427.566	7271.326	365.963	7527.212	342.758	0.826	0.695	0.482	0.501	0.682	0.966	0.034	0.937	0.757	3.6440599391213146E18	0.238	0.000	29085.303	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.998	0.500	30108.847	1.997
179	141	93.858	139.998	84.375	133.873	151.453	73.914	432931.080	6918.893	439.818	8671.580	358.189	0.670	0.701	0.492	0.488	0.449	0.798	0.202	0.814	0.613	2.6352535600426982E18	0.289	0.000	27675.573	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.587	0.630	34686.320	2.049
695	186	93.777	110.612	90.764	120.201	120.367	81.851	431803.121	6906.870	347.499	7585.612	337.218	0.848	0.780	0.609	0.680	0.719	0.911	0.089	0.970	0.633	2.6535450946534902E18	0.180	0.000	27627.481	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.324	0.755	30342.449	1.471
1058	212	92.336	122.006	60.390	162.091	162.072	54.845	412205.694	6696.277	383.292	7305.489	374.646	0.757	0.570	0.325	0.338	0.573	0.917	0.083	0.977	0.684	2.6352492320602054E18	0.188	0.000	26785.109	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.684	0.373	29221.958	2.955
985	207	90.772	114.132	74.016	118.134	113.881	73.121	391610.256	6471.329	358.558	6786.498	306.298	0.795	0.768	0.590	0.642	0.633	0.954	0.046	0.854	0.740	2.761349944027457E18	0.247	0.000	25885.316	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.596	0.627	27145.993	1.557
75	126	89.787	112.195	77.531	117.610	112.351	75.052	378994.053	6331.584	352.470	6695.612	312.473	0.800	0.763	0.583	0.668	0.640	0.946	0.054	0.887	0.694	2.6375059193932896E18	0.251	0.000	25326.338	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.517	0.659	26782.447	1.497
838	195	89.585	107.348	86.389	112.332	106.488	80.309	376453.770	6303.260	337.245	6734.820	313.322	0.835	0.798	0.636	0.754	0.696	0.936	0.064	0.929	0.650	3.6440554699201626E18	0.215	0.000	25213.040	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.300	0.769	26939.280	1.326
273	152	87.104	99.128	73.370	108.638	108.683	71.082	346030.670	5958.915	311.419	6191.725	292.987	0.879	0.802	0.643	0.654	0.772	0.962	0.038	0.941	0.748	3.6443375032576013E18	0.204	0.000	23835.659	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.481	0.675	24766.900	1.529
