Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
278	204	202.679	285.090	198.325	241.583	245.146	182.817	4359390.726	32263.242	895.638	36440.957	704.234	0.711	0.839	0.704	0.746	0.505	0.885	0.115	0.786	0.673	3.6440554699201709E18	0.239	0.000	129052.967	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.218	0.821	145763.829	1.341
503	278	162.280	213.536	150.751	219.881	204.500	140.136	2237659.103	20683.311	670.843	24016.283	587.177	0.760	0.738	0.545	0.685	0.578	0.861	0.139	0.875	0.624	2.6532993645607456E18	0.198	0.000	82733.244	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.459	0.686	96065.134	1.459
757	395	156.706	166.971	150.356	170.016	165.994	149.017	2014892.245	19286.735	524.556	19766.349	507.747	0.939	0.922	0.850	0.898	0.881	0.976	0.024	0.968	0.754	3.6440554709918451E18	0.162	0.000	77146.940	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.131	0.884	79065.397	1.114
187	167	154.715	170.024	144.541	167.280	166.199	144.662	1939075.172	18799.830	534.148	19167.753	496.330	0.910	0.925	0.855	0.870	0.828	0.981	0.019	0.929	0.778	3.7724080594323802E18	0.193	0.000	75199.321	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.157	0.864	76671.012	1.149
337	229	153.116	159.931	145.765	166.212	161.813	146.840	1879581.916	18413.300	502.438	18633.069	492.286	0.957	0.921	0.849	0.907	0.917	0.988	0.012	0.980	0.760	2.6532685771446118E18	0.181	0.000	73653.199	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.140	0.877	74532.278	1.102
813	464	150.459	171.158	123.208	192.078	182.878	125.547	1783414.477	17779.751	537.710	18205.566	502.359	0.879	0.783	0.614	0.687	0.773	0.977	0.023	0.934	0.751	2.6352535601745562E18	0.208	0.000	71119.003	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.559	0.641	72822.265	1.457
559	299	149.404	224.528	124.468	227.229	224.942	115.041	1746153.205	17531.229	705.377	21327.063	576.010	0.665	0.658	0.432	0.511	0.443	0.822	0.178	0.817	0.620	2.6355708389402682E18	0.265	0.000	70124.917	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.826	0.548	85308.254	1.955
291	210	149.290	165.608	145.383	159.969	155.149	144.069	1742177.085	17504.606	520.273	17845.469	477.761	0.901	0.933	0.871	0.929	0.813	0.981	0.019	0.918	0.753	3.7882019348876589E18	0.235	0.000	70018.426	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.100	0.909	71381.874	1.077
229	185	149.200	154.511	145.154	154.922	153.646	144.928	1739023.881	17483.478	485.412	17637.426	472.657	0.966	0.963	0.928	0.943	0.932	0.991	0.009	0.974	0.777	3.644306227305719E18	0.196	0.000	69933.914	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.067	0.937	70549.704	1.060
36	98	148.587	178.906	136.251	169.834	167.797	132.102	1717658.341	17339.982	562.049	17842.408	482.325	0.831	0.875	0.765	0.787	0.690	0.972	0.028	0.858	0.749	2.6352491534041184E18	0.237	0.000	69359.928	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.246	0.802	71369.633	1.270
509	281	146.652	149.640	145.203	151.910	148.508	144.893	1651448.716	16891.474	470.108	16995.018	463.854	0.980	0.965	0.932	0.976	0.960	0.994	0.006	0.987	0.766	3.7884565396241254E18	0.144	0.000	67565.896	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.046	0.956	67980.073	1.025
77	127	145.134	180.247	134.964	165.058	155.642	136.723	1600691.380	16543.567	566.262	17190.658	475.537	0.805	0.879	0.773	0.878	0.648	0.962	0.038	0.840	0.743	3.7721618364902694E18	0.209	0.000	66174.269	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.223	0.818	68762.630	1.138
235	188	144.731	148.845	143.341	149.968	146.633	142.931	1587400.566	16451.867	467.611	16594.077	458.298	0.972	0.965	0.931	0.975	0.945	0.991	0.009	0.980	0.765	3.7907088893278426E18	0.170	0.000	65807.469	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.046	0.956	66376.306	1.026
627	327	143.440	174.640	125.929	166.780	165.931	124.057	1545274.368	16159.497	548.647	16662.098	466.204	0.821	0.860	0.740	0.748	0.675	0.970	0.030	0.850	0.769	3.6440555386375795E18	0.213	0.000	64637.989	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.324	0.755	66648.394	1.338
236	188	143.037	155.945	116.727	174.689	176.237	116.657	1532301.156	16068.928	489.914	16376.875	471.309	0.917	0.819	0.670	0.662	0.841	0.981	0.019	0.962	0.788	2.6352491534038928E18	0.185	0.000	64275.712	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.497	0.668	65507.501	1.511
647	340	141.795	162.818	135.631	174.964	152.875	138.688	1492735.858	15791.114	511.508	16933.821	488.238	0.871	0.810	0.657	0.907	0.758	0.933	0.067	0.955	0.665	2.6352492308352061E18	0.155	0.000	63164.458	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.290	0.775	67735.285	1.102
298	211	141.778	151.012	135.604	155.209	149.930	135.621	1492189.544	15787.262	474.418	16308.913	460.321	0.939	0.913	0.834	0.905	0.881	0.968	0.032	0.970	0.750	2.6352536385408954E18	0.196	0.000	63149.050	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.145	0.874	65235.652	1.106
242	193	141.294	161.762	128.183	167.018	158.348	128.028	1476953.366	15679.611	508.190	16748.585	470.420	0.873	0.846	0.716	0.809	0.763	0.936	0.064	0.926	0.732	2.6352491609200522E18	0.202	0.000	62718.444	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.303	0.767	66994.339	1.237
