Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
4897	210	114.607	126.728	111.899	134.766	122.244	109.572	788196.341	10316.057	398.128	10779.372	378.265	0.904	0.850	0.723	0.896	0.818	0.957	0.043	0.950	0.684	2.6352541884692368E18	0.208	0.000	41264.229	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.204	0.830	43117.490	1.116
5585	234	76.645	102.034	57.821	128.079	132.418	50.544	235749.358	4613.790	320.549	5267.064	307.305	0.751	0.598	0.358	0.382	0.564	0.876	0.124	0.959	0.623	3.7907491011501325E18	0.218	0.000	18455.159	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.215	0.451	21068.254	2.620
3738	167	75.704	88.126	64.133	99.845	100.564	60.608	227173.977	4501.216	276.855	4913.761	264.361	0.859	0.758	0.575	0.603	0.738	0.916	0.084	0.955	0.703	2.6375456317514566E18	0.200	0.000	18004.863	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.557	0.642	19655.045	1.659
1597	114	75.257	98.439	55.876	116.027	120.020	49.478	223174.951	4448.236	309.255	4966.165	280.228	0.765	0.649	0.421	0.412	0.584	0.896	0.104	0.906	0.686	2.6352887454882669E18	0.251	0.000	17792.942	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.077	0.482	19864.662	2.426
6058	251	74.906	81.696	59.834	93.246	93.651	59.981	220064.035	4406.802	256.657	4499.323	247.200	0.917	0.803	0.645	0.640	0.841	0.979	0.021	0.963	0.790	2.653263620769401E18	0.208	0.000	17627.208	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.558	0.642	17997.293	1.561
7127	296	74.055	87.003	57.189	94.836	96.224	58.056	212650.812	4307.271	273.327	4528.220	252.442	0.851	0.781	0.610	0.603	0.725	0.951	0.049	0.924	0.794	3.7701568101965587E18	0.284	0.000	17229.084	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.658	0.603	18112.881	1.657
4561	198	72.781	99.732	47.287	126.645	138.738	41.969	201860.161	4160.299	313.316	4946.409	296.657	0.730	0.575	0.330	0.303	0.533	0.841	0.159	0.947	0.695	2.6352491544778938E18	0.226	0.000	16641.196	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.678	0.373	19785.635	3.306
4314	188	72.367	82.831	53.056	102.695	103.957	50.823	198433.958	4113.089	260.221	4227.164	254.969	0.874	0.705	0.497	0.489	0.763	0.973	0.027	0.980	0.755	2.6352492308522461E18	0.238	0.000	16452.355	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.936	0.517	16908.655	2.045
7802	334	70.865	86.732	53.849	100.833	108.600	49.926	186333.853	3944.137	272.476	4391.796	256.816	0.817	0.703	0.494	0.460	0.668	0.898	0.102	0.943	0.726	2.6352497042358125E18	0.179	0.000	15776.547	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.873	0.534	17567.186	2.175
5117	219	70.828	82.434	58.780	94.031	90.404	55.761	186046.252	3940.077	258.975	4073.734	239.133	0.859	0.753	0.567	0.617	0.738	0.967	0.033	0.923	0.713	2.6535500456959482E18	0.228	0.000	15760.310	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.600	0.625	16294.938	1.621
8315	604	69.752	81.275	59.110	89.949	91.959	55.826	177693.444	3821.247	255.333	4135.014	240.996	0.858	0.775	0.601	0.607	0.737	0.924	0.076	0.944	0.719	2.6352536213655571E18	0.216	0.000	15284.986	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.522	0.657	16540.056	1.647
7021	292	69.412	105.394	54.964	109.792	116.780	47.186	175108.940	3784.104	331.106	4736.143	272.174	0.659	0.632	0.400	0.404	0.434	0.799	0.201	0.822	0.627	3.9711783996574784E18	0.343	0.000	15136.415	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.998	0.501	18944.571	2.475
4122	181	69.008	72.124	65.244	73.417	72.256	66.017	172063.960	3740.108	226.585	3804.589	220.539	0.957	0.940	0.883	0.914	0.915	0.983	0.017	0.973	0.781	2.6355306294377933E18	0.200	0.000	14960.431	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.125	0.889	15218.358	1.095
6391	264	68.630	74.306	64.632	82.502	75.569	63.687	169258.090	3699.336	233.438	3792.652	226.737	0.924	0.832	0.692	0.843	0.853	0.975	0.025	0.971	0.694	2.6352497117498707E18	0.247	0.000	14797.345	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.276	0.783	15170.607	1.187
7458	311	67.840	78.663	48.381	98.236	101.002	46.499	163473.860	3614.567	247.128	3789.478	241.083	0.862	0.691	0.477	0.460	0.744	0.954	0.046	0.976	0.761	2.6352491621136275E18	0.224	0.000	14458.269	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.030	0.492	15157.913	2.172
4192	184	66.950	76.218	60.471	78.242	74.324	60.899	157128.259	3520.413	239.447	3663.131	220.048	0.878	0.856	0.732	0.819	0.772	0.961	0.039	0.919	0.744	2.6352540423040429E18	0.292	0.000	14081.652	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.294	0.773	14652.525	1.220
7531	315	66.503	82.895	60.564	91.721	85.495	55.057	153999.197	3473.520	260.423	3737.564	237.767	0.802	0.725	0.526	0.644	0.644	0.929	0.071	0.913	0.625	3.788170719180432E18	0.253	0.000	13894.079	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.514	0.660	14950.256	1.553
3528	161	66.288	75.989	63.554	82.274	77.678	59.605	152514.357	3451.156	238.725	3629.915	225.645	0.872	0.806	0.649	0.767	0.761	0.951	0.049	0.945	0.660	2.6352491533870787E18	0.252	0.000	13804.626	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.295	0.772	14519.662	1.303
7273	303	66.179	76.682	60.499	85.368	81.179	57.074	151757.846	3439.734	240.905	3717.682	229.589	0.863	0.775	0.601	0.703	0.745	0.925	0.075	0.953	0.666	2.6352894317267328E18	0.183	0.000	13758.938	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.411	0.709	14870.728	1.422
8111	357	65.923	80.732	52.036	87.767	90.015	49.327	150003.848	3413.179	253.627	3661.897	229.123	0.817	0.751	0.564	0.548	0.667	0.932	0.068	0.903	0.747	2.6375015804215158E18	0.268	0.000	13652.717	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.687	0.593	14647.589	1.825
7452	311	65.915	83.110	53.729	94.808	97.694	49.689	149949.028	3412.348	261.097	3880.880	244.311	0.793	0.695	0.483	0.509	0.629	0.879	0.121	0.936	0.670	2.6352844087965638E18	0.261	0.000	13649.391	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.765	0.567	15523.518	1.966
1576	114	65.866	72.499	58.635	79.137	77.527	57.619	149619.063	3407.340	227.761	3540.596	221.858	0.909	0.832	0.693	0.743	0.825	0.962	0.038	0.974	0.734	3.7884521415776147E18	0.202	0.000	13629.358	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.350	0.741	14162.383	1.346
244	65	65.514	74.346	63.731	75.566	74.103	61.670	147233.929	3371.031	233.565	3619.780	221.958	0.881	0.867	0.752	0.832	0.777	0.931	0.069	0.950	0.700	2.6352844247489962E18	0.187	0.000	13484.123	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.186	0.843	14479.119	1.202
4025	177	65.270	74.064	60.844	81.367	77.576	58.343	145593.844	3345.950	232.678	3545.072	222.456	0.881	0.802	0.643	0.752	0.777	0.944	0.056	0.956	0.676	2.6513290322099712E18	0.222	0.000	13383.801	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.337	0.748	14180.287	1.330
6779	282	65.204	73.284	58.466	85.079	81.433	54.778	145154.684	3339.218	230.228	3531.865	223.111	0.890	0.766	0.587	0.673	0.792	0.945	0.055	0.969	0.671	2.6352491621135949E18	0.196	0.000	13356.874	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.455	0.687	14127.460	1.487
7134	297	65.090	67.552	62.635	70.946	69.379	61.286	144391.788	3327.508	212.220	3377.274	209.180	0.964	0.917	0.842	0.883	0.928	0.985	0.015	0.986	0.749	2.635535653612136E18	0.177	0.000	13310.032	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.133	0.883	13509.095	1.132
