Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
65	196	36.531	42.839	37.266	39.259	37.600	35.547	25525.714	1048.116	134.582	1125.636	120.318	0.853	0.931	0.866	0.945	0.727	0.931	0.069	0.894	0.716	3.66010408795178445E18	0.333	0.000	4192.465	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.053	0.949	4502.544	1.058	37.616	27.864
40	153	37.578	40.896	37.142	39.958	38.547	36.673	27783.850	1109.053	128.480	1154.647	121.396	0.919	0.940	0.884	0.951	0.844	0.961	0.039	0.945	0.747	3.7881712175838807E18	0.315	0.000	4436.213	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.076	0.930	4618.587	1.051	0.000	0.000
131	350	32.730	36.151	32.754	34.959	33.616	31.914	18358.210	841.352	113.571	884.749	106.677	0.905	0.936	0.877	0.949	0.820	0.951	0.049	0.939	0.735	2.63528825708726118E18	0.335	0.000	3365.408	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.067	0.937	3538.996	1.053	0.000	0.000
13	109	29.493	33.858	29.922	31.889	30.738	28.354	13432.776	683.179	106.367	733.572	96.868	0.871	0.925	0.855	0.922	0.759	0.931	0.069	0.911	0.716	3.78846149737986765E18	0.314	0.000	2732.717	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.066	0.938	2934.289	1.084	0.000	0.000
108	277	30.085	31.982	29.122	32.333	30.757	29.474	14258.263	710.889	100.476	731.485	97.354	0.941	0.930	0.866	0.958	0.885	0.972	0.028	0.969	0.755	2.63524915461450803E18	0.324	0.000	2843.556	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.110	0.901	2925.941	1.044	0.000	0.000
132	351	28.771	34.990	29.052	32.943	31.645	26.330	12469.900	650.129	109.924	719.300	97.136	0.822	0.873	0.763	0.832	0.676	0.904	0.096	0.884	0.679	2.94152974180589824E18	0.355	0.000	2600.515	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.134	0.882	2877.201	1.202	34.095	19.068
71	200	29.005	31.301	28.831	31.057	30.015	28.063	12776.864	660.755	98.333	688.299	93.857	0.927	0.934	0.872	0.935	0.859	0.960	0.040	0.954	0.738	3.66210562111378483E18	0.295	0.000	2643.019	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.077	0.928	2753.197	1.070	0.000	0.000
148	393	28.845	30.226	28.360	30.733	29.629	28.083	12566.037	653.466	94.958	672.284	92.677	0.954	0.939	0.881	0.948	0.911	0.972	0.028	0.976	0.750	2.65326864710829978E18	0.304	0.000	2613.864	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.084	0.923	2689.136	1.055	0.000	0.000
79	207	27.824	36.116	28.288	30.978	28.795	27.008	11278.956	608.046	113.462	684.791	94.213	0.770	0.898	0.807	0.938	0.594	0.888	0.112	0.830	0.694	5.0627207661010473E18	0.398	0.000	2432.186	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.095	0.913	2739.165	1.066	39.846	15.260
