Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
267	209	105.361	122.974	80.414	143.545	143.154	79.035	612412.670	8718.736	386.334	9049.194	363.708	0.857	0.734	0.539	0.552	0.734	0.963	0.037	0.941	0.755	2.7633246669127814E18	0.219	0.000	34874.946	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.785	0.560	36196.776	1.811
206	194	104.566	134.269	73.863	166.002	167.737	67.697	598648.086	8587.601	421.820	9409.433	397.208	0.779	0.630	0.397	0.404	0.606	0.913	0.087	0.942	0.700	3.6440901045364461E18	0.214	0.000	34350.403	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.247	0.445	37637.733	2.478
226	199	96.858	110.079	66.619	139.631	139.694	67.598	475783.255	7368.237	345.824	7536.769	339.938	0.880	0.694	0.481	0.484	0.774	0.978	0.022	0.983	0.792	2.7796821886769792E18	0.178	0.000	29472.949	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.096	0.477	30147.078	2.067
355	243	94.613	127.105	63.342	155.558	168.394	57.760	443457.282	7030.594	399.312	7885.390	370.433	0.744	0.608	0.370	0.343	0.554	0.892	0.108	0.928	0.714	3.790423016306489E18	0.244	0.000	28122.375	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.456	0.407	31541.560	2.915
54	152	94.519	104.337	86.712	104.232	103.805	86.372	442137.310	7016.635	327.784	7199.702	305.601	0.906	0.907	0.822	0.832	0.821	0.975	0.025	0.932	0.776	3.7884565397583757E18	0.211	0.000	28066.540	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.202	0.832	28798.807	1.202
279	212	93.817	101.955	89.591	106.328	98.764	90.196	432362.838	6912.838	320.302	7192.257	307.381	0.920	0.882	0.779	0.913	0.847	0.961	0.039	0.960	0.726	3.9348592455207616E18	0.202	0.000	27651.353	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.187	0.843	28769.029	1.095
249	204	93.674	112.843	70.103	138.914	134.052	67.925	430388.279	6891.774	354.506	7284.040	339.232	0.830	0.674	0.455	0.507	0.689	0.946	0.054	0.957	0.708	2.6352497827702554E18	0.217	0.000	27567.098	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.982	0.505	29136.159	1.974
137	177	91.216	104.150	83.545	105.826	104.740	82.272	397380.893	6534.747	327.196	6782.742	305.899	0.876	0.862	0.743	0.785	0.767	0.963	0.037	0.935	0.739	3.7884565397583776E18	0.220	0.000	26138.987	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.267	0.789	27130.969	1.273
302	219	91.002	102.612	77.032	121.539	115.492	72.808	394591.798	6504.134	322.364	6836.831	310.014	0.887	0.749	0.561	0.630	0.787	0.951	0.049	0.962	0.695	3.7901058072188774E18	0.185	0.000	26016.535	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.578	0.634	27347.324	1.586
23	137	90.934	111.248	73.536	121.537	122.553	68.503	393705.362	6494.390	349.495	6823.359	312.400	0.817	0.748	0.560	0.559	0.668	0.952	0.048	0.894	0.727	2.635288264605288E18	0.242	0.000	25977.559	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.653	0.605	27293.436	1.789
219	196	90.620	109.645	75.462	124.551	117.014	71.707	389647.619	6449.690	344.461	6768.285	313.863	0.826	0.728	0.529	0.613	0.683	0.953	0.047	0.911	0.686	2.6352800009162029E18	0.246	0.000	25798.758	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.651	0.606	27073.139	1.632
66	155	89.861	101.270	83.461	108.049	105.869	79.091	379933.685	6342.045	318.149	6719.004	300.941	0.887	0.832	0.692	0.747	0.787	0.944	0.056	0.946	0.703	3.8062203106857958E18	0.212	0.000	25368.180	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.295	0.772	26876.017	1.339
12	119	88.976	102.573	84.490	107.254	99.616	82.781	368817.501	6217.729	322.241	6635.494	303.021	0.867	0.830	0.688	0.831	0.752	0.937	0.063	0.940	0.686	2.6352491534020541E18	0.205	0.000	24870.917	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.269	0.788	26541.974	1.203
178	186	88.735	116.218	76.193	124.440	127.526	71.232	365838.846	6184.207	365.111	7240.878	327.965	0.764	0.713	0.508	0.559	0.583	0.854	0.146	0.898	0.652	2.635249162113624E18	0.267	0.000	24736.829	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.633	0.612	28963.512	1.790
117	172	88.592	118.597	63.006	127.871	136.496	60.298	364073.758	6164.299	372.582	6890.702	326.253	0.747	0.693	0.480	0.442	0.558	0.895	0.105	0.876	0.765	2.7613511038196589E18	0.276	0.000	24657.197	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.029	0.493	27562.806	2.264
306	220	88.520	112.579	86.267	96.266	91.940	85.457	363176.061	6154.162	353.678	6476.253	287.716	0.786	0.920	0.846	0.929	0.618	0.950	0.050	0.813	0.741	2.6530167888646733E18	0.253	0.000	24616.648	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.116	0.896	25905.011	1.076
221	197	88.402	96.359	81.614	108.871	104.973	76.815	361732.263	6137.841	302.720	6419.874	294.209	0.917	0.812	0.659	0.732	0.842	0.956	0.044	0.972	0.691	2.6352491533891798E18	0.175	0.000	24551.366	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.334	0.750	25679.497	1.367
344	238	87.851	106.975	68.447	128.964	134.762	60.798	355007.811	6061.536	336.070	6621.189	323.557	0.821	0.681	0.464	0.451	0.674	0.915	0.085	0.963	0.687	2.6352844064954214E18	0.194	0.000	24246.145	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.884	0.531	26484.758	2.217
57	152	87.223	110.804	67.402	129.246	128.971	62.109	347448.434	5975.180	348.101	6392.282	316.873	0.787	0.675	0.455	0.482	0.620	0.935	0.065	0.910	0.686	3.7881750647816653E18	0.246	0.000	23900.721	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.918	0.522	25569.130	2.077
109	170	86.682	101.257	78.263	114.670	106.138	74.514	341027.948	5901.342	318.109	6242.082	300.892	0.856	0.756	0.571	0.702	0.733	0.945	0.055	0.946	0.658	3.6463468619503795E18	0.213	0.000	23605.367	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.465	0.683	24968.328	1.424
215	196	86.677	100.212	68.614	120.252	118.281	65.907	340970.529	5900.679	314.824	6132.347	304.029	0.865	0.721	0.520	0.557	0.748	0.962	0.038	0.966	0.715	2.6352534827141165E18	0.212	0.000	23602.717	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.753	0.571	24529.386	1.795
180	188	86.621	99.941	74.591	116.461	107.186	71.475	340302.018	5892.965	313.973	6103.552	296.471	0.867	0.744	0.553	0.667	0.751	0.965	0.035	0.944	0.678	2.6352492211670314E18	0.207	0.000	23571.858	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.561	0.640	24414.210	1.500
177	186	86.571	95.339	85.505	92.178	88.135	85.241	339714.718	5886.182	299.517	6057.247	277.722	0.908	0.939	0.882	0.967	0.825	0.972	0.028	0.927	0.747	2.6352497032941584E18	0.217	0.000	23544.729	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.078	0.928	24228.986	1.034
280	212	86.447	92.133	78.711	98.008	95.328	78.797	338263.594	5869.408	289.445	5975.351	279.293	0.938	0.882	0.778	0.827	0.880	0.982	0.018	0.965	0.761	2.635288804661504E18	0.202	0.000	23477.631	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.245	0.803	23901.403	1.210
346	238	86.013	100.779	75.502	96.292	97.195	76.729	333189.070	5810.560	316.607	6040.450	282.001	0.853	0.893	0.798	0.789	0.728	0.962	0.038	0.891	0.799	2.6375014428459514E18	0.231	0.000	23242.239	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.275	0.784	24161.799	1.267
163	184	85.868	102.824	84.182	94.475	90.026	82.309	331504.307	5790.956	323.030	6048.570	278.487	0.835	0.909	0.826	0.914	0.697	0.957	0.043	0.862	0.728	2.6372508153941616E18	0.267	0.000	23163.823	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.122	0.891	24194.282	1.094
314	227	85.796	108.589	71.892	121.626	117.159	68.080	330672.804	5781.269	341.142	6435.878	309.095	0.790	0.705	0.498	0.581	0.624	0.898	0.102	0.906	0.661	2.6532640416571203E18	0.231	0.000	23125.075	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.692	0.591	25743.511	1.721
49	150	85.429	99.781	72.380	112.302	107.053	69.134	326450.204	5731.946	313.473	5968.305	290.197	0.856	0.761	0.579	0.646	0.733	0.960	0.040	0.926	0.705	2.6352491544776346E18	0.225	0.000	22927.783	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.552	0.645	23873.219	1.548
337	234	85.216	133.202	67.400	160.320	174.146	59.596	324012.300	5703.373	418.465	8003.922	383.796	0.640	0.532	0.283	0.342	0.409	0.713	0.287	0.917	0.528	2.7816513342386467E18	0.193	0.000	22813.493	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.379	0.420	32015.689	2.922
269	209	82.491	92.690	76.463	90.016	88.261	77.420	293908.176	5344.395	291.196	5523.489	267.915	0.890	0.916	0.840	0.877	0.792	0.968	0.032	0.920	0.776	2.6510469451812506E18	0.236	0.000	21377.580	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.177	0.849	22093.955	1.140
345	238	82.275	93.393	66.740	104.535	107.589	65.494	291605.281	5316.442	293.404	5708.042	281.140	0.881	0.787	0.619	0.609	0.776	0.931	0.069	0.958	0.762	2.6352535612530221E18	0.228	0.000	21265.768	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.566	0.638	22832.166	1.643
297	217	82.168	87.066	79.877	87.726	85.630	79.071	290473.253	5302.674	273.525	5405.099	262.566	0.944	0.937	0.877	0.923	0.891	0.981	0.019	0.960	0.757	3.7881745760967526E18	0.201	0.000	21210.695	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.098	0.911	21620.395	1.083
197	191	80.237	83.436	73.320	88.496	87.489	73.932	270475.173	5056.411	262.121	5146.978	258.804	0.962	0.907	0.822	0.845	0.925	0.982	0.018	0.987	0.779	2.6352491535383731E18	0.193	0.000	20225.644	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.207	0.829	20587.912	1.183
108	170	80.200	109.950	64.951	107.532	107.772	60.435	270099.444	5051.727	345.420	5414.766	278.808	0.729	0.746	0.556	0.561	0.532	0.933	0.067	0.807	0.723	2.7793644103339642E18	0.287	0.000	20206.910	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.656	0.604	21659.065	1.783
186	189	79.379	97.378	69.705	96.590	92.047	68.585	261891.989	4948.865	305.922	5213.521	262.451	0.815	0.822	0.675	0.745	0.665	0.949	0.051	0.858	0.735	3.7878897328904736E18	0.247	0.000	19795.461	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.386	0.722	20854.084	1.342
149	180	78.646	93.619	76.726	87.590	85.719	75.237	254700.744	4857.852	294.111	5076.494	264.709	0.840	0.898	0.806	0.878	0.706	0.957	0.043	0.900	0.723	3.6440554700522918E18	0.255	0.000	19431.407	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.142	0.876	20305.974	1.139
