Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
122	223	111.713	138.369	79.974	170.968	170.631	76.282	729972.142	9801.555	434.700	10440.801	413.460	0.807	0.653	0.427	0.447	0.652	0.939	0.061	0.951	0.717	2.6352492309862339E18	0.196	0.000	39206.222	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.138	0.468	41763.205	2.237
1	154	108.712	116.127	95.004	133.630	129.517	92.500	672722.883	9282.144	364.824	9373.502	357.530	0.936	0.814	0.662	0.714	0.876	0.990	0.010	0.980	0.731	2.6375406828754186E18	0.214	0.000	37128.575	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.407	0.711	37494.007	1.400
244	272	101.969	122.848	93.090	121.384	115.201	91.394	555134.598	8166.256	385.939	8513.673	336.336	0.830	0.840	0.706	0.793	0.689	0.959	0.041	0.871	0.723	3.6440560198105024E18	0.203	0.000	32665.025	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.304	0.767	34054.693	1.260
266	280	100.028	111.622	86.002	124.503	121.122	84.038	524034.167	7858.335	350.670	8056.894	332.075	0.896	0.803	0.645	0.694	0.803	0.975	0.025	0.947	0.734	2.6352536287600733E18	0.194	0.000	31433.340	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.448	0.691	32227.576	1.441
71	203	94.022	110.292	67.114	135.766	140.957	64.532	435199.302	6943.039	346.492	7320.195	336.207	0.852	0.693	0.480	0.458	0.727	0.948	0.052	0.970	0.762	3.6440554709920742E18	0.202	0.000	27772.155	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.023	0.494	29280.780	2.184
67	200	93.966	125.145	75.626	129.147	129.783	70.367	434427.332	6934.825	393.153	7389.391	330.982	0.751	0.728	0.529	0.542	0.564	0.938	0.062	0.842	0.710	2.7633242621124061E18	0.256	0.000	27739.301	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.708	0.586	29557.565	1.844
33	191	92.334	111.507	66.406	125.386	128.606	66.762	412175.960	6695.956	350.308	6911.132	320.020	0.828	0.736	0.542	0.519	0.686	0.969	0.031	0.914	0.804	2.7790873419955706E18	0.255	0.000	26783.824	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.888	0.530	27644.530	1.926
159	240	91.914	103.830	91.850	95.898	93.646	90.280	406581.100	6635.224	326.193	6843.959	294.552	0.885	0.958	0.919	0.964	0.784	0.970	0.030	0.903	0.753	3.6440555387720026E18	0.224	0.000	26540.898	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.044	0.958	27375.834	1.037
178	246	91.277	99.105	74.056	114.424	114.664	73.905	398187.413	6543.586	311.347	6685.429	304.141	0.921	0.798	0.636	0.645	0.848	0.979	0.021	0.977	0.772	2.6529864836907795E18	0.181	0.000	26174.342	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.545	0.647	26741.717	1.552
147	236	90.066	97.299	87.049	97.284	93.175	87.865	382549.957	6371.127	305.675	6570.108	291.723	0.926	0.926	0.857	0.943	0.857	0.970	0.030	0.954	0.752	2.6352497129431834E18	0.191	0.000	25484.506	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.118	0.895	26280.431	1.060
124	224	89.662	94.820	79.104	100.920	101.030	79.940	377414.979	6313.985	297.885	6411.127	288.546	0.946	0.888	0.789	0.791	0.894	0.985	0.015	0.969	0.791	2.6352843388499488E18	0.178	0.000	25255.941	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.276	0.784	25644.507	1.264
284	291	88.892	98.933	80.949	103.361	100.692	78.787	367779.483	6206.058	310.808	6374.264	288.473	0.899	0.860	0.740	0.782	0.807	0.974	0.026	0.928	0.742	3.6600990625710464E18	0.250	0.000	24824.230	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.277	0.783	25497.055	1.278
241	269	87.649	95.077	86.322	94.346	87.932	87.755	352560.349	6033.645	298.692	6186.334	282.104	0.922	0.929	0.863	0.998	0.850	0.975	0.025	0.944	0.741	2.761385128416327E18	0.251	0.000	24134.582	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.093	0.915	24745.338	1.002
142	231	87.520	98.332	84.180	100.460	92.929	83.694	351005.787	6015.896	308.918	6239.530	287.326	0.890	0.871	0.759	0.901	0.792	0.964	0.036	0.930	0.711	2.6355003918111021E18	0.243	0.000	24063.583	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.193	0.838	24958.121	1.110
132	228	87.114	93.237	72.325	107.653	106.123	72.251	346148.425	5960.267	292.913	6055.690	286.613	0.934	0.809	0.655	0.681	0.873	0.984	0.016	0.978	0.766	2.6372546625961754E18	0.193	0.000	23841.066	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.488	0.672	24222.760	1.469
299	304	86.237	98.586	74.468	104.196	103.197	72.563	335796.482	5840.835	309.719	6016.002	283.507	0.875	0.828	0.685	0.703	0.765	0.971	0.029	0.915	0.753	3.7862003418832704E18	0.238	0.000	23363.339	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.399	0.715	24064.006	1.422
143	231	86.208	107.717	82.508	114.700	99.087	84.207	335464.378	5836.982	338.403	6636.193	312.861	0.800	0.752	0.565	0.850	0.641	0.880	0.120	0.925	0.617	3.8065028949738547E18	0.239	0.000	23347.929	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.390	0.719	26544.770	1.177
29	190	85.617	104.717	73.157	119.972	118.133	67.118	328605.621	5757.149	328.978	6193.716	306.292	0.818	0.714	0.509	0.568	0.668	0.930	0.070	0.931	0.656	3.6460615299758342E18	0.220	0.000	23028.595	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.640	0.610	24774.862	1.760
203	246	85.329	105.140	79.672	109.430	103.327	75.000	325302.580	5718.505	330.308	6146.708	296.312	0.812	0.780	0.608	0.726	0.659	0.930	0.070	0.897	0.656	3.7859545332376627E18	0.268	0.000	22874.020	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.373	0.728	24586.830	1.378
286	295	85.086	90.316	66.513	107.021	107.563	67.375	322532.473	5685.994	283.736	5739.990	279.987	0.942	0.795	0.632	0.626	0.888	0.991	0.009	0.987	0.799	2.6352491534038928E18	0.173	0.000	22743.978	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.609	0.622	22959.959	1.596
232	264	84.161	87.048	77.529	91.613	91.167	77.892	312125.866	5563.020	273.469	5620.254	268.458	0.967	0.919	0.844	0.854	0.935	0.990	0.010	0.982	0.783	2.6352535600403347E18	0.199	0.000	22252.081	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.182	0.846	22481.015	1.170
109	213	83.235	87.164	77.014	94.326	91.389	75.889	301940.929	5441.335	273.833	5521.582	266.396	0.955	0.882	0.779	0.830	0.912	0.985	0.015	0.973	0.749	3.6620698770345587E18	0.241	0.000	21765.340	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.225	0.816	22086.326	1.204
268	283	83.145	99.949	71.863	107.754	109.395	66.489	300962.919	5429.578	314.000	5968.264	287.760	0.832	0.772	0.595	0.608	0.692	0.910	0.090	0.916	0.701	2.6352497128425574E18	0.200	0.000	21718.314	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.499	0.667	23873.057	1.645
86	209	83.054	114.114	56.160	146.999	163.889	47.659	299973.703	5417.674	358.499	6343.866	348.934	0.728	0.565	0.319	0.291	0.530	0.854	0.146	0.973	0.656	3.7884923447574387E18	0.208	0.000	21670.697	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.618	0.382	25375.463	3.439
184	246	82.915	88.805	80.329	92.382	88.220	78.525	298465.543	5399.501	278.990	5512.024	267.159	0.934	0.898	0.806	0.890	0.872	0.980	0.020	0.958	0.728	2.6352492231973408E18	0.187	0.000	21598.004	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.150	0.870	22048.097	1.123
231	264	82.753	93.931	67.123	107.136	111.897	63.639	296720.344	5378.432	295.092	5692.611	285.656	0.881	0.772	0.597	0.569	0.776	0.945	0.055	0.968	0.748	3.7882063932126182E18	0.191	0.000	21513.727	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.596	0.627	22770.444	1.758
213	254	82.535	96.646	65.372	108.022	112.874	63.108	294388.493	5350.216	303.623	5724.161	285.749	0.854	0.764	0.584	0.559	0.729	0.935	0.065	0.941	0.758	2.635499860311255E18	0.245	0.000	21400.865	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.652	0.605	22896.646	1.789
48	196	82.450	87.238	80.605	86.418	85.048	80.127	293470.068	5339.083	274.066	5455.203	263.776	0.945	0.954	0.910	0.942	0.893	0.979	0.021	0.962	0.766	3.7881707277892742E18	0.207	0.000	21356.333	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.072	0.933	21820.812	1.061
95	213	82.193	88.633	73.400	95.455	94.915	73.065	290737.009	5305.883	278.449	5534.510	271.436	0.927	0.861	0.741	0.770	0.860	0.959	0.041	0.975	0.757	2.6352535601601014E18	0.182	0.000	21223.534	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.300	0.769	22138.041	1.299
20	179	81.378	102.431	76.131	104.597	106.201	73.126	282178.578	5201.239	321.797	6037.220	291.232	0.794	0.778	0.605	0.689	0.631	0.862	0.138	0.905	0.653	2.6375366885579018E18	0.209	0.000	20804.957	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.374	0.728	24148.881	1.452
146	234	81.351	86.483	69.043	101.219	98.243	67.544	281891.366	5197.709	271.693	5282.884	266.309	0.941	0.804	0.646	0.688	0.885	0.984	0.016	0.980	0.744	2.6352843463658835E18	0.216	0.000	20790.836	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.466	0.682	21131.536	1.455
197	246	81.145	101.088	64.386	103.018	102.786	64.181	279755.856	5171.426	317.578	5439.170	273.507	0.803	0.788	0.620	0.624	0.644	0.951	0.049	0.861	0.780	3.9322902537991482E18	0.265	0.000	20685.703	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.600	0.625	21756.681	1.602
292	301	81.049	98.031	75.639	100.536	91.243	74.304	278762.802	5159.180	307.974	5649.766	275.475	0.827	0.806	0.650	0.814	0.684	0.913	0.087	0.894	0.678	3.7913120424610874E18	0.260	0.000	20636.719	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.329	0.752	22599.066	1.228
296	304	80.934	83.524	78.484	85.140	83.513	78.515	277584.853	5144.636	262.397	5199.969	256.826	0.969	0.951	0.904	0.940	0.939	0.989	0.011	0.979	0.770	2.6352497643464432E18	0.194	0.000	20578.543	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.085	0.922	20799.875	1.064
257	272	80.866	89.785	76.491	89.110	86.765	75.590	276881.546	5135.943	282.069	5274.653	260.014	0.901	0.907	0.824	0.871	0.811	0.974	0.026	0.922	0.754	2.7613499429705251E18	0.222	0.000	20543.771	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.165	0.858	21098.612	1.148
7	161	80.488	101.086	68.023	99.986	100.221	64.822	273015.856	5088.027	317.572	5376.984	269.032	0.796	0.805	0.648	0.647	0.634	0.946	0.054	0.847	0.748	3.9303199968763763E18	0.245	0.000	20352.108	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.470	0.680	21507.936	1.546
282	285	80.287	95.898	74.524	91.488	87.698	73.903	270973.971	5062.626	301.272	5282.910	262.562	0.837	0.878	0.770	0.843	0.701	0.958	0.042	0.872	0.743	2.7613499504717472E18	0.299	0.000	20250.503	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.228	0.815	21131.638	1.187
295	304	80.187	89.560	64.980	99.512	101.466	64.543	269962.463	5050.019	281.362	5252.902	269.253	0.895	0.806	0.649	0.636	0.802	0.961	0.039	0.957	0.781	3.8065062010249677E18	0.205	0.000	20200.077	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.531	0.653	21011.608	1.572
208	248	80.172	89.751	76.224	88.415	84.990	76.019	269818.157	5048.220	281.962	5191.592	258.755	0.893	0.907	0.822	0.894	0.798	0.972	0.028	0.918	0.749	3.7724432524117088E18	0.236	0.000	20192.878	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.160	0.862	20766.366	1.118
99	213	80.072	85.106	77.961	84.616	82.079	78.297	268806.379	5035.591	267.368	5133.641	255.975	0.941	0.946	0.895	0.954	0.885	0.981	0.019	0.957	0.763	2.635249153536272E18	0.197	0.000	20142.365	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.085	0.921	20534.566	1.048
53	199	79.774	91.960	58.127	110.238	112.072	58.206	265815.419	4998.169	288.900	5158.840	278.330	0.867	0.724	0.524	0.519	0.753	0.969	0.031	0.963	0.780	2.6352492231995085E18	0.229	0.000	19992.676	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.896	0.527	20635.361	1.925
21	179	79.698	83.929	72.163	93.332	89.112	71.427	265054.380	4988.624	263.670	5063.564	257.179	0.950	0.854	0.729	0.802	0.902	0.985	0.015	0.975	0.741	2.7793643414650323E18	0.200	0.000	19954.497	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.293	0.773	20254.254	1.248
177	246	79.495	83.464	73.046	89.775	88.097	71.766	263039.345	4963.309	262.209	5035.182	254.253	0.952	0.885	0.784	0.815	0.907	0.986	0.014	0.970	0.757	2.6352804293410586E18	0.187	0.000	19853.234	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.229	0.814	20140.730	1.228
17	179	79.073	86.159	76.255	88.038	82.363	76.807	258866.136	4910.672	270.678	5057.016	258.038	0.918	0.898	0.807	0.933	0.842	0.971	0.029	0.953	0.731	2.6352491533873408E18	0.215	0.000	19642.688	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.155	0.866	20228.066	1.072
54	200	78.908	84.155	63.307	98.518	99.233	63.025	257249.571	4890.207	264.382	4944.200	259.966	0.938	0.801	0.642	0.635	0.879	0.989	0.011	0.983	0.784	3.6621050615261901E18	0.176	0.000	19560.827	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.556	0.643	19776.799	1.575
49	196	78.416	81.177	74.703	85.652	83.584	73.629	252470.867	4829.457	255.026	4893.691	249.734	0.966	0.916	0.838	0.881	0.933	0.987	0.013	0.979	0.755	2.6352843378955155E18	0.215	0.000	19317.830	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.147	0.872	19574.765	1.135
236	266	78.130	83.441	74.352	87.546	82.984	73.818	249721.786	4794.335	262.138	4886.845	250.752	0.936	0.892	0.796	0.890	0.877	0.981	0.019	0.957	0.737	2.7636017429034566E18	0.190	0.000	19177.342	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.177	0.849	19547.381	1.124
