Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
947,183,111.156,133.95,101.471,139.068,129.224,99.236,719111.794,9704.095,420.818,10632.649,381.83,0.83,0.799,0.639,0.768,0.689,0.913,0.087,0.907,0.688,2635249711869170176,0.201,0,38816.381,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.371,0.73,42530.596,1.302,139.483,69.572,0.0,0
1703,205,97.734,102.792,92.536,110.047,104.424,91.64,488801.044,7502.031,322.93,7641.164,313.887,0.951,0.888,0.789,0.878,0.904,0.982,0.018,0.972,0.737,2779364899945030144,0.247,0,30008.124,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.189,0.841,30564.655,1.14,0,0,0.0,0
4340,295,88.04,116.544,85.931,99.35,90.806,86.578,357309.161,6087.705,366.132,6447.88,291.518,0.755,0.886,0.785,0.953,0.571,0.944,0.056,0.796,0.713,2673217558729789952,0.302,0,24350.82,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.156,0.865,25791.52,1.049,137.382,44.312,0.0,0
491,157,74.281,85.164,72.822,79.763,75.438,73.961,214605.246,4333.622,267.551,4511.173,242.652,0.872,0.931,0.867,0.98,0.761,0.961,0.039,0.907,0.746,3644337504333409792,0.254,0,17334.489,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.095,0.913,18044.693,1.02,0,0,0.0,0
4560,305,71.919,88.77,72.648,75.521,72.833,71.075,194772.278,4062.333,278.881,4296.825,233.989,0.81,0.952,0.907,0.976,0.656,0.945,0.055,0.839,0.74,2655269207036239872,0.286,0,16249.333,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.04,0.962,17187.301,1.025,95.135,42.701,0.0,0
4774,314,66.561,105.011,71.92,100.211,87.049,63.616,154400.422,3479.551,329.903,4907.079,269.057,0.634,0.664,0.441,0.731,0.402,0.709,0.291,0.816,0.483,2656158732753710080,0.3,0,13918.202,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.393,0.718,19628.316,1.368,138.719,25.083,0.0,0
1601,200,74.151,89.607,70.824,82.011,79.35,69.332,213472.838,4318.363,281.507,4543.115,241.109,0.828,0.904,0.817,0.874,0.685,0.951,0.049,0.856,0.743,3788170666619509760,0.28,0,17273.454,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.158,0.864,18172.462,1.144,92.434,46.718,0.0,0
866,179,78.828,93.831,70.627,101.774,93.266,67.977,256476.397,4880.404,294.778,5137.738,265.818,0.84,0.775,0.6,0.729,0.706,0.95,0.05,0.902,0.679,2637228835100310016,0.265,0,19521.615,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.441,0.694,20550.951,1.372,93.402,52.252,0.0,0
200,132,74.169,85.199,69.413,86.006,84.799,66.671,213628.342,4320.461,267.662,4741.908,252.863,0.871,0.862,0.744,0.786,0.758,0.911,0.089,0.945,0.724,2781897607661300224,0.222,0,17281.843,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.239,0.807,18967.63,1.272,73.154,59.06,0.0,0
2325,222,74.927,84.432,67.825,84.268,81.163,69.697,220250.843,4409.296,265.251,4554.817,243.647,0.887,0.889,0.791,0.859,0.788,0.968,0.032,0.919,0.771,2653267409853360128,0.261,0,17637.182,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.242,0.805,18219.268,1.165,0,0,0.0,0
1756,208,69.57,80.771,66.963,80.99,76.406,64.689,176302.15,3801.274,253.75,4000.515,231.823,0.861,0.859,0.738,0.847,0.742,0.95,0.05,0.914,0.701,3644060417854900224,0.284,0,15205.096,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.209,0.827,16002.059,1.181,72.312,52.568,0.0,0
3931,282,74.918,90.921,66.227,90.237,86.792,64.821,220168.33,4408.194,285.636,4657.683,248.136,0.824,0.83,0.689,0.747,0.679,0.946,0.054,0.869,0.738,2653232825851579904,0.29,0,17632.777,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.363,0.734,18630.732,1.339,94.623,46.587,0.0,0
4425,300,66.105,71.888,65.612,70.962,67.229,65.09,151248.88,3432.039,225.844,3526.892,211.696,0.92,0.932,0.868,0.968,0.846,0.973,0.027,0.937,0.737,2637540622645179904,0.257,0,13728.156,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.082,0.925,14107.569,1.033,0,0,0.0,0
4366,296,67.138,72.073,64.799,71.016,69.926,64.469,158451.068,3540.144,226.425,3630.765,214.742,0.932,0.945,0.894,0.922,0.868,0.975,0.025,0.948,0.769,3790423017363709952,0.242,0,14160.575,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.096,0.912,14523.06,1.085,0,0,0.0,0
5338,347,64.431,68.441,64.568,66.457,64.887,63.998,140051.477,3260.488,215.014,3340.577,205.803,0.941,0.97,0.94,0.986,0.886,0.976,0.024,0.957,0.76,2635249161994059776,0.236,0,13041.952,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.029,0.972,13362.306,1.014,0,0,0.0,0
2806,241,62.929,77.116,64.559,73.943,71.678,60.073,130481.671,3110.216,242.267,3519.876,218.082,0.816,0.851,0.724,0.838,0.666,0.884,0.116,0.9,0.652,3790458200677000192,0.258,0,12440.863,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.145,0.873,14079.505,1.193,81.438,38.191,0.0,0
1677,203,63.652,71.193,64.262,66.482,64.231,63.097,135031.413,3182.101,223.661,3300.59,204.847,0.894,0.957,0.917,0.982,0.799,0.964,0.036,0.916,0.745,2651293228267840000,0.267,0,12728.405,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.035,0.967,13202.358,1.018,0,0,0.0,0
4301,295,65.335,69.718,64.219,67.734,66.352,64.337,146028.245,3352.603,219.025,3425.303,208.276,0.937,0.965,0.93,0.97,0.878,0.979,0.021,0.951,0.771,3644055470054380032,0.249,0,13410.411,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.055,0.948,13701.212,1.031,0,0,0.0,0
1955,211,63.435,70.823,63.553,65.909,64.201,62.711,133655.237,3160.444,222.497,3278.453,203.977,0.896,0.962,0.926,0.977,0.802,0.964,0.036,0.917,0.755,3644059876705540096,0.27,0,12641.775,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.037,0.964,13113.813,1.024,0,0,0.0,0
2451,227,64.009,72.528,62.843,72.471,66.268,62.343,137315.638,3217.887,227.855,3395.693,210.531,0.883,0.883,0.78,0.941,0.779,0.948,0.052,0.924,0.707,3788202002782989824,0.264,0,12871.549,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.153,0.867,13582.771,1.063,0,0,0.0,0
495,157,62.707,72.479,62.334,66.817,63.913,61.568,129107.595,3088.342,227.7,3225.794,202.925,0.865,0.938,0.881,0.963,0.749,0.957,0.043,0.891,0.742,3788170667542289920,0.322,0,12353.366,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.072,0.933,12903.177,1.038,61.416,50.286,0.0,0
1567,199,61.604,71.984,61.707,65.757,63.148,60.16,122411.234,2980.609,226.145,3134.048,199.979,0.856,0.937,0.878,0.953,0.732,0.951,0.049,0.884,0.735,3662074337477400064,0.303,0,11922.435,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.066,0.938,12536.193,1.05,66.276,44.973,0.0,0
5196,334,54.299,77.801,60.89,68.728,61.835,58.115,83823.868,2315.63,244.418,2972.352,208.602,0.698,0.79,0.624,0.94,0.487,0.779,0.221,0.853,0.553,2640360938788170240,0.284,0,9262.522,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.129,0.886,11889.407,1.064,97.231,23.816,0.0,0
1758,208,61.187,79.486,60.837,84.318,76.703,51.764,119943.128,2940.409,249.711,3474.931,222.288,0.77,0.726,0.527,0.675,0.593,0.846,0.154,0.89,0.573,3788492336148579840,0.352,0,11761.635,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.386,0.722,13899.726,1.482,90.978,32.32,0.0,0
1529,199,60.798,62.213,60.429,62.146,61.414,60.183,117671.871,2903.171,195.449,2935.753,192.601,0.977,0.978,0.957,0.98,0.955,0.989,0.011,0.985,0.773,2635249223197369856,0.227,0,11612.684,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.028,0.972,11743.012,1.02,0,0,0.0,0
2403,224,61.498,77.369,60.339,66.232,64.119,59.095,121783.622,2970.412,243.063,3160.882,200.991,0.795,0.929,0.862,0.922,0.632,0.94,0.06,0.827,0.743,3790426865555809792,0.307,0,11881.649,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.098,0.911,12643.526,1.085,85.133,34.892,0.0,0
