Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
666	564	51.168	54.764	49.807	55.451	53.021	49.565	70144.117	2056.293	172.046	2118.463	165.264	0.934	0.923	0.851	0.935	0.873	0.971	0.029	0.961	0.745	2.77936441906025062E18	0.270	0.000	8225.171	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.113	0.898	8473.854	1.070	0.000	0.000
538	477	47.010	52.794	47.225	49.735	47.469	46.609	54396.951	1735.697	165.857	1814.572	152.162	0.890	0.945	0.893	0.982	0.793	0.957	0.043	0.917	0.739	3.80872390093165568E18	0.297	0.000	6942.787	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.053	0.950	7258.289	1.018	0.000	0.000
619	522	53.364	60.118	46.005	69.205	69.358	43.435	79568.994	2236.592	188.866	2366.897	183.981	0.888	0.771	0.595	0.626	0.788	0.945	0.055	0.974	0.703	2.63528490607537664E18	0.218	0.000	8946.367	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.504	0.665	9467.588	1.597	0.000	0.000
681	606	47.435	49.783	45.948	51.973	49.569	45.556	55885.644	1767.221	156.399	1811.381	152.954	0.953	0.913	0.833	0.919	0.908	0.976	0.024	0.978	0.740	2.63524915446321357E18	0.249	0.000	7068.886	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.131	0.884	7245.523	1.088	0.000	0.000
683	608	48.721	51.282	45.863	54.564	51.906	46.039	60555.833	1864.353	161.108	1903.880	157.679	0.950	0.893	0.797	0.887	0.903	0.979	0.021	0.979	0.745	2.63524915446295552E18	0.261	0.000	7457.411	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.190	0.841	7615.520	1.127	0.000	0.000
484	459	47.509	52.289	45.603	56.052	51.240	44.609	56147.691	1772.742	164.269	1868.974	158.479	0.909	0.848	0.718	0.871	0.826	0.949	0.051	0.965	0.694	2.77936433300748032E18	0.254	0.000	7090.966	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.229	0.814	7475.896	1.149	0.000	0.000
195	308	51.668	61.440	45.439	65.864	63.138	43.438	72222.729	2096.718	193.019	2222.292	176.090	0.841	0.784	0.615	0.688	0.707	0.943	0.057	0.912	0.701	2.63750494764225485E18	0.280	0.000	8386.873	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.449	0.690	8889.169	1.454	59.741	35.097
179	299	58.753	75.108	45.311	84.536	87.773	42.789	106190.039	2711.107	235.960	3086.860	215.846	0.782	0.695	0.483	0.487	0.612	0.878	0.122	0.915	0.708	2.77939952583502694E18	0.312	0.000	10844.427	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.866	0.536	12347.439	2.051	84.332	32.148
650	545	45.007	51.909	45.162	48.455	46.529	43.621	47734.822	1590.917	163.078	1674.034	146.973	0.867	0.929	0.863	0.938	0.752	0.950	0.050	0.901	0.727	2.63524916118904576E18	0.277	0.000	6363.670	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.073	0.932	6696.137	1.067	0.000	0.000
