Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
5013,271,104.679,123.779,99.277,131.283,116.562,97.225,600585.133,8606.116,388.864,9206.236,358.599,0.846,0.797,0.636,0.834,0.715,0.935,0.065,0.922,0.66,3644091204063009792,0.24,0,34424.465,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.322,0.756,36824.945,1.199,122.834,70.063,40.74333333333333,0
4840,266,99.212,103.496,94.908,106.446,103.175,95.573,511316.082,7730.669,325.142,7822.989,316.205,0.959,0.932,0.869,0.926,0.919,0.988,0.012,0.973,0.765,3644056019673880064,0.219,0,30922.676,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.122,0.892,31291.954,1.08,0,0,40.74333333333333,0
2409,184,94.313,100.199,93.328,98.526,95.779,92.963,439249.926,6986.054,314.785,7120.145,301.276,0.941,0.957,0.916,0.971,0.886,0.981,0.019,0.957,0.76,2653232215815159808,0.212,0,27944.217,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.056,0.947,28480.582,1.03,0,0,40.74333333333333,0
3338,214,104.209,133.426,91.572,153.35,146.168,83.911,592530.424,8528.995,419.171,9611.955,388.053,0.781,0.68,0.462,0.574,0.61,0.887,0.113,0.926,0.607,3790458201752840192,0.237,0,34115.981,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.675,0.597,38447.82,1.742,152.071,56.086,40.74333333333333,0
2261,179,99.434,126.696,90.033,111.31,109.712,90.711,514762.626,7765.37,398.028,8181.225,326.081,0.785,0.893,0.798,0.827,0.616,0.949,0.051,0.819,0.775,2652985925212409856,0.338,0,31061.48,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.236,0.809,32724.898,1.209,143.412,54.147,40.74333333333333,0
8262,366,91.94,115.591,83.474,118.121,114.899,77.418,406926.164,6638.978,363.139,7340.902,318.077,0.795,0.778,0.606,0.674,0.633,0.904,0.096,0.876,0.673,3644059319416759808,0.284,0,26555.911,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.415,0.707,29363.608,1.484,128.21,51.782,40.74333333333333,0
7114,339,85.379,103.009,82.513,99.485,97.271,79.871,325879.894,5725.269,323.613,6280.023,290.865,0.829,0.858,0.737,0.821,0.687,0.912,0.088,0.899,0.697,3644059876690829824,0.248,0,22901.075,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.206,0.829,25120.091,1.218,106.543,53.737,40.74333333333333,0
5322,281,81.603,109.615,81.466,105.505,101.278,72.588,284524.367,5230.025,344.364,6214.449,294.257,0.744,0.773,0.598,0.717,0.554,0.842,0.158,0.854,0.608,2635249153404109824,0.245,0,20920.1,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.295,0.772,24857.795,1.395,131.399,39.803,40.74333333333333,0
8019,360,93.34,111.704,81.195,108.088,106.65,83.311,425792.477,6842.625,350.929,7277.133,311.366,0.836,0.864,0.746,0.781,0.698,0.94,0.06,0.887,0.78,3662109993392260096,0.266,0,27370.501,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.331,0.751,29108.534,1.28,113.521,60.276,40.74333333333333,0
2624,191,92.532,124.129,80.782,128.516,125.507,78.232,414837.346,6724.749,389.963,7714.762,338.652,0.745,0.72,0.518,0.623,0.556,0.872,0.128,0.868,0.648,3788491932577180160,0.373,0,26898.995,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.591,0.629,30859.049,1.604,148.057,45.42,40.74333333333333,0
2939,201,81.347,119.15,79.629,107.89,107.323,77.884,281849.699,5197.197,374.321,6438.71,306.546,0.683,0.754,0.568,0.726,0.466,0.807,0.193,0.819,0.605,3646056599332689920,0.296,0,20788.787,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.355,0.738,25754.841,1.378,151.484,34.309,40.74333333333333,0
2211,178,83.626,98.554,79.059,100.851,95.429,74.902,306212.542,5492.534,309.617,5757.501,278.524,0.849,0.829,0.688,0.785,0.72,0.954,0.046,0.9,0.689,3930636726154699776,0.244,0,21970.138,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.276,0.784,23030.005,1.274,96.022,57.201,40.74333333333333,0
7,67,88.829,110.599,78.188,116.912,107.107,76.006,367001.927,6197.308,347.458,6519.026,304.501,0.803,0.76,0.577,0.71,0.645,0.951,0.049,0.876,0.678,3770402550089059840,0.266,0,24789.231,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.495,0.669,26076.103,1.409,120.986,51.223,40.74333333333333,0
