Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
570,156,102.619,126.714,97.587,127.678,124.095,88.554,565819.962,8270.714,398.084,9023.755,355.532,0.81,0.804,0.646,0.714,0.656,0.917,0.083,0.893,0.664,3806542467712260096,0.254,0,33082.854,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.308,0.764,36095.019,1.401,137.267,60.253,32.32666666666666,0
2975,304,108.836,146.865,85.777,164.407,168.59,76.92,675023.184,9303.29,461.389,10418.603,410.473,0.741,0.662,0.438,0.456,0.549,0.893,0.107,0.89,0.66,3790431960595060224,0.274,0,37213.162,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.917,0.522,41674.413,2.192,176.442,52.727,32.32666666666666,0
1127,201,85.794,96.463,84.114,96.506,91.157,81.074,330647.132,5780.969,303.047,5992.523,278.035,0.889,0.889,0.79,0.889,0.791,0.965,0.035,0.917,0.712,3788170726847649792,0.232,0,23123.875,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.147,0.872,23970.092,1.124,0,0,32.32666666666666,0
2390,256,91.18,97.102,82.542,99.626,98.643,84.657,396918.734,6529.679,305.054,6646.439,293.299,0.939,0.915,0.838,0.858,0.882,0.982,0.018,0.961,0.794,2637501512771539968,0.249,0,26118.716,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.207,0.829,26585.758,1.165,0,0,32.32666666666666,0
87,114,90.053,123.271,80.942,111.086,106.206,76.691,382380.235,6369.242,387.266,6835.928,301.652,0.731,0.811,0.657,0.722,0.534,0.932,0.068,0.779,0.708,3788184392378720256,0.339,0,25476.968,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.372,0.729,27343.713,1.385,149.616,42.571,32.32666666666666,0
661,165,104.145,122.26,78.55,142.999,146.133,75.364,591441.532,8518.544,384.091,8879.168,361.701,0.852,0.728,0.53,0.516,0.726,0.959,0.041,0.942,0.758,2635253552391980032,0.248,0,34074.176,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.82,0.549,35516.672,1.939,118.205,72.066,32.32666666666666,0
2858,293,78.254,94.437,77.752,85.373,80.382,76.611,250908.441,4809.512,296.681,5062.691,255.619,0.829,0.917,0.84,0.953,0.687,0.95,0.05,0.862,0.725,3790703951042420224,0.286,0,19238.047,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.098,0.911,20250.766,1.049,97.115,49.524,32.32666666666666,0
4128,396,87.255,108.838,75.178,104.393,103.631,73.579,347833.039,5979.59,341.926,6282.997,288.185,0.802,0.836,0.699,0.71,0.643,0.952,0.048,0.843,0.762,3916242262025679872,0.275,0,23918.359,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.389,0.72,25131.987,1.408,119.368,50.094,32.32666666666666,0
2165,244,110.236,169.26,74.419,188.701,198.103,66.043,701411.216,9544.195,531.745,10947.72,445.166,0.651,0.584,0.341,0.333,0.424,0.872,0.128,0.837,0.68,3644059867966680064,0.265,0,38176.779,Accept,Reject,Reject,Reject,Reject,Reject,Reject,2.536,0.394,43790.881,3,221.534,43.082,32.32666666666666,0
1367,212,74.647,115.958,73.664,89.039,85.19,67.391,217786.547,4376.344,364.292,5066.968,263.102,0.644,0.838,0.703,0.791,0.414,0.864,0.136,0.722,0.667,5083238742891499520,0.359,0,17505.378,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.209,0.827,20267.87,1.264,152.168,28.76,32.32666666666666,0
3524,346,78.832,83.235,73.006,84.875,83.853,74.446,256508.324,4880.808,261.49,4976.411,254.227,0.947,0.929,0.863,0.888,0.897,0.981,0.019,0.972,0.788,2635249153403890176,0.219,0,19523.233,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.163,0.86,19905.644,1.126,0,0,32.32666666666666,0
3178,321,74.61,86.437,72.939,84.619,80.994,71.451,217466.901,4372.061,271.551,4564.414,250.507,0.863,0.882,0.777,0.882,0.745,0.958,0.042,0.923,0.708,2637254671202890240,0.262,0,17488.245,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.16,0.862,18257.657,1.134,76.995,56.784,32.32666666666666,0
506,151,73.375,81.355,72.403,79.543,75.38,71.56,206845.606,4228.52,255.583,4356.595,236.067,0.902,0.922,0.851,0.949,0.813,0.971,0.029,0.924,0.734,2763601751359200256,0.291,0,16914.079,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.099,0.91,17426.381,1.053,0,0,32.32666666666666,0
3511,345,81.083,99.101,71.98,94.803,92.792,71.989,279121.36,5163.603,311.336,5509.019,272.233,0.818,0.855,0.732,0.776,0.669,0.937,0.063,0.874,0.757,2637254327874469888,0.256,0,20654.412,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.317,0.759,22036.076,1.289,105.05,49.154,32.32666666666666,0
1444,216,83.786,101.631,71.973,108.968,106.739,70.195,307969.424,5513.523,319.284,6047.073,292.657,0.824,0.769,0.591,0.658,0.68,0.912,0.088,0.917,0.703,2635254179573109760,0.276,0,22054.093,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.514,0.661,24188.291,1.521,106.466,51.786,32.32666666666666,0
520,153,70.573,82.598,71.616,73.628,70.86,70.335,184043.37,3911.749,259.488,4098.907,228.237,0.854,0.959,0.919,0.993,0.73,0.954,0.046,0.88,0.742,3646272635248150016,0.285,0,15646.994,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.028,0.973,16395.627,1.007,77.434,50.517,32.32666666666666,0
410,142,78.734,91.983,71.187,102.864,93.94,69.044,255556.163,4868.723,288.972,5237.672,272.601,0.856,0.765,0.586,0.735,0.733,0.93,0.07,0.943,0.665,2637536207517329920,0.308,0,19474.892,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.445,0.692,20950.686,1.361,86.19,56.488,32.32666666666666,0
1115,200,91.256,142.847,71.113,136.591,154.568,64.923,397903.443,6540.475,448.768,8290.919,360.229,0.639,0.668,0.446,0.42,0.408,0.789,0.211,0.803,0.673,3805904208761829888,0.374,0,26161.9,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.921,0.521,33163.674,2.381,188.375,34.721,32.32666666666666,0
