Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
7241	334	87.143	118.853	62.335	137.368	132.372	61.747	346493.319	5964.225	373.386	7015.006	338.523	0.733	0.634	0.402	0.466	0.538	0.850	0.150	0.907	0.697	2.7639592411000525E18	0.201	0.000	23856.901	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.204	0.454	28060.023	2.144
2235	146	80.807	102.493	56.279	130.666	132.267	52.059	276275.935	5128.451	321.993	5443.874	307.912	0.788	0.618	0.382	0.394	0.622	0.942	0.058	0.956	0.697	2.6352855168981264E18	0.235	0.000	20513.803	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.322	0.431	21775.495	2.541
7754	371	79.380	92.424	59.899	109.447	109.715	58.094	261902.166	4948.994	290.358	5116.179	274.301	0.859	0.725	0.526	0.530	0.738	0.967	0.033	0.945	0.755	3.7904230086542394E18	0.249	0.000	19795.975	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.827	0.547	20464.716	1.889
477	81	77.555	84.172	64.896	90.995	91.491	65.874	244248.369	4724.022	264.433	4830.924	252.278	0.921	0.852	0.726	0.720	0.849	0.978	0.022	0.954	0.800	3.646030193877431E18	0.217	0.000	18896.090	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.402	0.713	19323.695	1.389
3504	193	76.327	86.471	65.948	89.669	91.319	65.546	232831.184	4575.637	271.658	4877.242	254.667	0.883	0.851	0.725	0.718	0.779	0.938	0.062	0.937	0.774	3.6440593278895162E18	0.219	0.000	18302.547	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.360	0.735	19508.967	1.393
636	87	75.907	104.048	52.380	125.947	129.476	47.616	229002.990	4525.344	326.876	5023.842	297.310	0.730	0.603	0.363	0.368	0.532	0.901	0.099	0.910	0.686	2.6375054382566093E18	0.265	0.000	18101.376	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.405	0.416	20095.369	2.719
7443	347	75.137	94.202	60.645	103.274	111.309	55.027	222102.741	4433.977	295.943	5072.046	272.254	0.798	0.728	0.529	0.494	0.636	0.874	0.126	0.920	0.708	3.7884527612800397E18	0.232	0.000	17735.908	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.703	0.587	20288.182	2.023
2475	153	75.093	79.402	64.254	90.197	89.159	63.629	221718.955	4428.867	249.450	4493.706	244.786	0.946	0.833	0.693	0.714	0.894	0.986	0.014	0.981	0.764	3.7884565407020954E18	0.195	0.000	17715.469	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.404	0.712	17974.824	1.401
2076	138	73.638	104.355	66.472	114.156	110.554	53.945	209079.232	4258.906	327.840	5267.084	284.567	0.706	0.645	0.416	0.488	0.498	0.809	0.191	0.868	0.561	3.790453312869705E18	0.292	0.000	17035.626	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.717	0.582	21068.336	2.049
5497	264	72.983	83.430	58.402	101.291	96.721	56.085	203548.958	4183.470	262.103	4315.016	251.804	0.875	0.721	0.519	0.580	0.765	0.970	0.030	0.961	0.707	2.6377919214189421E18	0.223	0.000	16733.881	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.734	0.577	17260.063	1.725
1824	129	72.962	92.388	55.102	111.871	105.076	52.308	203372.217	4181.048	290.246	4422.518	266.709	0.790	0.652	0.425	0.498	0.624	0.945	0.055	0.919	0.678	2.6355311966628922E18	0.261	0.000	16724.193	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.030	0.493	17690.072	2.009
7497	350	72.744	100.135	58.870	103.363	113.100	51.307	201554.874	4156.103	314.583	4952.719	273.364	0.726	0.704	0.495	0.454	0.528	0.839	0.161	0.869	0.683	2.6355312491420246E18	0.316	0.000	16624.413	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.756	0.570	19810.874	2.204
