Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
6669	409	81.063	85.223	79.944	88.048	81.789	80.710	278907.280	5160.962	267.734	5263.899	261.063	0.951	0.921	0.848	0.987	0.905	0.980	0.020	0.975	0.733	2.7613812801256301E18	0.182	0.000	20643.849	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.101	0.908	21055.594	1.013
1149	155	78.077	105.681	44.865	138.111	151.973	42.271	249211.901	4787.807	332.005	5228.873	320.361	0.739	0.565	0.320	0.278	0.546	0.916	0.084	0.965	0.773	2.6352491619964499E18	0.225	0.000	19151.228	Accept	Reject	Reject	Reject	Reject	Reject	Reject	3.078	0.325	20915.493	3.595
886	143	77.928	90.164	49.040	114.979	119.630	51.181	247785.044	4769.515	283.257	4821.710	278.362	0.864	0.678	0.459	0.428	0.747	0.989	0.011	0.983	0.846	3.6601040117160819E18	0.171	0.000	19078.059	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.345	0.427	19286.841	2.337
4452	295	76.424	117.927	56.865	130.320	128.998	53.370	233712.391	4587.174	370.478	5503.309	309.994	0.648	0.586	0.344	0.414	0.420	0.834	0.166	0.837	0.619	3.7724438118354349E18	0.312	0.000	18348.698	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.292	0.436	22013.238	2.417
4410	294	72.572	91.934	41.224	119.751	130.362	41.874	200126.176	4136.440	288.818	4432.319	282.402	0.789	0.606	0.367	0.321	0.623	0.933	0.067	0.978	0.838	2.6352492222410394E18	0.234	0.000	16545.761	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.905	0.344	17729.277	3.113
1032	149	71.010	106.028	49.664	105.566	108.491	47.891	187482.381	3960.327	333.097	4482.497	263.811	0.670	0.673	0.452	0.441	0.449	0.884	0.116	0.792	0.755	3.9120197174245274E18	0.337	0.000	15841.309	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.126	0.470	17929.988	2.265
2851	230	70.778	96.736	54.358	93.842	98.354	52.966	185648.529	3934.460	303.904	4397.797	249.794	0.732	0.754	0.569	0.539	0.535	0.895	0.105	0.822	0.771	3.7902163007550733E18	0.297	0.000	15737.839	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.726	0.579	17591.190	1.857
2237	204	70.302	89.247	49.332	99.617	110.434	48.889	181929.367	3881.736	280.376	4395.769	256.743	0.788	0.706	0.498	0.443	0.621	0.883	0.117	0.916	0.790	2.6352497043532534E18	0.281	0.000	15526.943	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.019	0.495	17583.076	2.259
4666	303	69.198	92.932	41.934	119.292	129.520	39.167	173488.425	3760.721	291.956	4188.206	278.187	0.745	0.580	0.336	0.302	0.554	0.898	0.102	0.953	0.752	2.6352492222429037E18	0.242	0.000	15042.884	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.845	0.352	16752.822	3.307
3688	263	69.168	76.105	66.689	75.348	71.575	67.247	173264.085	3757.478	239.090	3865.995	223.592	0.909	0.918	0.843	0.940	0.826	0.972	0.028	0.935	0.748	3.7704382929455859E18	0.253	0.000	15029.914	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.130	0.885	15463.979	1.064
219	103	69.102	82.814	49.554	100.622	106.559	46.667	172771.442	3750.353	260.169	4021.365	250.067	0.834	0.687	0.472	0.438	0.696	0.933	0.067	0.961	0.752	2.6352497118694128E18	0.253	0.000	15001.412	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.031	0.492	16085.461	2.283
