Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
487	286	31.076	34.663	27.644	35.973	34.802	27.871	15712.926	758.453	108.897	803.897	103.139	0.897	0.864	0.746	0.801	0.804	0.943	0.057	0.947	0.763	3.78620035156635443E18	0.318	0.000	3033.813	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.301	0.768	3215.587	1.249	0.000	0.000
227	189	27.162	29.344	27.434	28.583	27.432	26.912	10492.573	579.445	92.187	602.148	87.799	0.926	0.950	0.903	0.981	0.857	0.962	0.038	0.952	0.739	2.63750543839292928E18	0.329	0.000	2317.780	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.042	0.960	2408.590	1.019	0.000	0.000
793	536	27.239	29.955	27.099	29.289	28.443	26.148	10582.306	582.744	94.107	611.136	88.773	0.909	0.930	0.865	0.919	0.827	0.954	0.046	0.943	0.734	2.63528490618861824E18	0.336	0.000	2330.975	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.081	0.925	2444.545	1.088	0.000	0.000
598	327	33.260	38.347	27.040	44.811	45.210	25.836	19265.652	868.854	120.471	930.055	116.662	0.867	0.742	0.551	0.571	0.752	0.934	0.066	0.968	0.717	2.63529390941761024E18	0.280	0.000	3475.415	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.657	0.603	3720.222	1.750	0.000	0.000
688	354	28.584	30.520	26.918	31.386	30.804	26.592	12228.183	641.700	95.881	666.650	92.672	0.937	0.911	0.829	0.863	0.877	0.963	0.037	0.967	0.760	2.63556589129133568E18	0.321	0.000	2566.800	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.166	0.858	2666.602	1.158	0.000	0.000
213	183	26.136	27.844	25.890	28.599	27.122	25.239	9348.353	536.514	87.476	559.707	84.927	0.939	0.914	0.835	0.931	0.881	0.959	0.041	0.971	0.725	2.77936943680889139E18	0.297	0.000	2146.055	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.105	0.905	2238.827	1.075	0.000	0.000
551	307	26.380	28.724	25.813	28.667	27.630	25.324	9611.887	546.550	90.240	569.591	85.936	0.918	0.920	0.847	0.917	0.843	0.960	0.040	0.952	0.739	2.635566510974848E18	0.296	0.000	2186.200	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.111	0.900	2278.363	1.091	0.000	0.000
568	311	27.228	30.055	25.734	30.208	29.304	25.379	10569.481	582.273	94.422	614.012	89.447	0.906	0.901	0.812	0.866	0.821	0.948	0.052	0.947	0.749	2.63525032299634893E18	0.315	0.000	2329.092	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.174	0.852	2456.050	1.155	0.000	0.000
389	253	25.724	27.986	25.690	27.818	26.644	24.870	8912.644	519.711	87.919	545.541	83.533	0.919	0.925	0.855	0.933	0.845	0.953	0.047	0.950	0.727	2.63753677461040589E18	0.334	0.000	2078.844	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.083	0.924	2182.166	1.071	0.000	0.000
664	341	25.459	27.782	25.593	27.364	26.220	24.760	8640.436	509.074	87.278	535.869	83.167	0.916	0.930	0.866	0.944	0.840	0.950	0.050	0.953	0.727	2.63757635716136038E18	0.309	0.000	2036.297	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.069	0.935	2143.476	1.059	0.000	0.000
