Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
171	229	91.341	101.618	71.724	121.147	124.304	68.425	399019.923	6552.704	319.242	6793.101	313.425	0.899	0.754	0.568	0.550	0.808	0.965	0.035	0.982	0.754	2.7796464436753059E18	0.170	0.000	26210.815	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.689	0.592	27172.403	1.817
405	285	89.662	135.915	93.506	121.551	125.714	87.175	377422.129	6314.065	426.990	8166.726	342.034	0.660	0.738	0.544	0.693	0.435	0.773	0.227	0.801	0.556	3.9348586945543622E18	0.191	0.000	25256.259	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.300	0.769	32666.903	1.442
65	200	83.127	110.538	65.194	108.970	108.997	63.744	300760.697	5427.146	347.266	5723.776	283.701	0.752	0.763	0.582	0.585	0.566	0.948	0.052	0.817	0.764	2.7773940853621853E18	0.272	0.000	21708.585	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.671	0.598	22895.105	1.710
29	185	81.971	91.909	64.443	105.909	105.562	63.749	288391.434	5277.307	288.740	5407.656	274.253	0.892	0.774	0.599	0.604	0.795	0.976	0.024	0.950	0.773	3.6443369536194944E18	0.219	0.000	21109.227	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.643	0.608	21630.624	1.656
313	264	79.236	81.998	74.268	85.458	84.230	74.568	260470.428	4930.940	257.603	4989.759	252.038	0.966	0.927	0.860	0.885	0.934	0.988	0.012	0.978	0.777	2.6352492222431334E18	0.205	0.000	19723.760	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.151	0.869	19959.034	1.130
252	250	77.850	91.187	71.778	90.918	87.678	69.483	247044.722	4760.010	286.471	4948.222	254.208	0.854	0.856	0.733	0.792	0.729	0.962	0.038	0.887	0.729	3.7881711488284563E18	0.251	0.000	19040.041	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.267	0.789	19792.888	1.262
177	231	77.848	82.322	76.107	83.708	79.158	77.028	247027.628	4759.790	258.622	4897.528	251.846	0.946	0.930	0.865	0.973	0.894	0.972	0.028	0.974	0.747	2.7819377495036211E18	0.221	0.000	19039.162	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.100	0.909	19590.111	1.028
138	220	77.657	100.345	53.497	111.389	113.399	54.098	245210.076	4736.415	315.244	5059.776	276.281	0.774	0.697	0.486	0.477	0.599	0.936	0.064	0.876	0.795	2.779364900903697E18	0.250	0.000	18945.659	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.082	0.480	20239.104	2.096
161	226	77.485	90.771	70.742	93.023	88.909	68.239	243589.306	4715.520	285.165	4884.719	255.085	0.854	0.833	0.694	0.768	0.729	0.965	0.035	0.895	0.717	2.6372199679866771E18	0.252	0.000	18862.080	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.315	0.760	19538.876	1.303
82	206	77.414	84.152	70.036	92.729	88.769	68.625	242917.331	4706.844	264.370	4796.651	253.837	0.920	0.835	0.697	0.773	0.846	0.981	0.019	0.960	0.725	2.6352497042187642E18	0.193	0.000	18827.375	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.324	0.755	19186.605	1.294
385	280	76.943	85.249	60.898	94.013	97.505	62.002	238514.116	4649.792	267.817	4821.844	259.050	0.903	0.818	0.670	0.636	0.815	0.964	0.036	0.967	0.812	2.6535813905227299E18	0.222	0.000	18599.169	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.544	0.648	19287.376	1.573
19	180	76.877	81.440	69.919	92.163	89.501	67.607	237899.651	4641.803	255.850	4706.579	253.317	0.944	0.834	0.696	0.755	0.891	0.986	0.014	0.990	0.720	2.6352491619791805E18	0.194	0.000	18567.210	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.318	0.759	18826.317	1.324
141	221	76.794	101.503	60.625	104.439	109.205	56.692	237124.150	4631.710	318.882	5249.710	275.262	0.757	0.735	0.541	0.519	0.572	0.882	0.118	0.863	0.732	2.6352844066341299E18	0.246	0.000	18526.839	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.723	0.580	20998.839	1.926
415	287	76.536	107.708	55.732	107.867	111.550	54.046	234746.334	4600.694	338.376	5121.231	274.900	0.711	0.710	0.503	0.485	0.505	0.898	0.102	0.812	0.765	3.7724433222049606E18	0.272	0.000	18402.776	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.935	0.517	20484.924	2.064
64	200	76.492	81.264	64.299	92.389	91.568	64.019	234335.925	4595.330	255.297	4663.608	249.092	0.941	0.828	0.685	0.699	0.886	0.985	0.015	0.976	0.774	2.6352536212459821E18	0.195	0.000	18381.322	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.437	0.696	18654.432	1.430
180	233	76.083	83.893	67.319	95.080	91.294	64.900	230602.025	4546.385	263.556	4693.571	254.387	0.907	0.800	0.640	0.711	0.822	0.969	0.031	0.965	0.710	2.6352491619940573E18	0.258	0.000	18185.541	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.412	0.708	18774.284	1.407
245	249	75.572	92.060	73.272	81.216	78.116	73.568	225987.108	4485.524	289.213	4737.431	246.827	0.821	0.931	0.866	0.942	0.674	0.947	0.053	0.853	0.754	3.7881751259873139E18	0.293	0.000	17942.097	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.108	0.902	18949.723	1.062
200	237	75.291	83.277	73.825	83.558	78.903	73.890	223470.044	4452.156	261.624	4694.414	250.453	0.904	0.901	0.812	0.936	0.817	0.948	0.052	0.957	0.722	2.6352491544776064E18	0.209	0.000	17808.624	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.132	0.884	18777.657	1.068
2	153	75.138	84.270	67.680	91.026	87.869	65.234	222114.634	4434.135	264.742	4594.144	248.891	0.892	0.825	0.681	0.742	0.795	0.965	0.035	0.940	0.720	2.6352497118694128E18	0.270	0.000	17736.539	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.345	0.744	18376.576	1.347
160	226	75.087	78.015	69.459	84.571	82.763	68.182	221663.128	4428.124	245.092	4483.311	240.222	0.962	0.888	0.788	0.824	0.926	0.988	0.012	0.980	0.754	2.6352491619791146E18	0.206	0.000	17712.494	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.218	0.821	17933.246	1.214
312	264	74.706	81.228	72.475	84.260	79.846	71.566	218309.514	4383.347	255.185	4602.167	246.980	0.920	0.887	0.786	0.896	0.846	0.952	0.048	0.968	0.718	2.7793692989483725E18	0.197	0.000	17533.390	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.163	0.860	18408.667	1.116
483	320	74.593	75.838	73.268	76.758	75.961	73.276	217314.489	4370.018	238.251	4404.088	235.956	0.984	0.972	0.944	0.965	0.967	0.992	0.008	0.990	0.777	2.6352535525094662E18	0.180	0.000	17480.073	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.048	0.955	17616.352	1.037
201	237	74.444	89.306	52.917	107.092	110.534	50.720	216014.851	4352.577	280.564	4617.950	264.412	0.834	0.695	0.483	0.459	0.695	0.943	0.057	0.942	0.768	2.6352497118864861E18	0.205	0.000	17410.310	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.024	0.494	18471.800	2.179
