Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
680	233	120.518	193.417	90.218	181.192	183.826	83.250	916535.825	11407.499	607.639	12861.431	448.963	0.623	0.665	0.442	0.453	0.388	0.887	0.113	0.739	0.698	3.7904269256665152E18	0.274	0.000	45629.997	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.008	0.498	51445.723	2.208
592	220	116.770	133.298	115.369	136.450	130.814	107.201	833661.754	10709.045	418.767	11625.088	393.357	0.876	0.856	0.732	0.819	0.767	0.921	0.079	0.939	0.680	2.6355311879345414E18	0.179	0.000	42836.178	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.183	0.845	46500.351	1.220
1027	281	116.149	151.397	93.767	160.187	172.125	85.953	820442.815	10595.538	475.629	12252.911	420.480	0.767	0.725	0.526	0.499	0.589	0.865	0.135	0.884	0.705	2.6355350275011149E18	0.299	0.000	42382.151	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.708	0.585	49011.644	2.003
129	132	113.437	177.615	89.227	192.816	198.250	76.156	764299.162	10106.475	557.995	12538.457	456.065	0.639	0.588	0.346	0.384	0.408	0.806	0.194	0.817	0.587	3.7881750572505299E18	0.275	0.000	40425.900	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.161	0.463	50153.829	2.603
78	122	110.229	118.455	108.772	122.536	114.831	107.896	701265.451	9542.872	372.138	9870.721	363.569	0.931	0.900	0.809	0.940	0.866	0.967	0.033	0.977	0.716	2.6535494936560368E18	0.163	0.000	38171.489	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.127	0.888	39482.884	1.064
344	178	110.037	142.509	91.474	135.989	132.137	92.903	697613.433	9509.712	447.704	10013.669	371.804	0.772	0.809	0.655	0.703	0.596	0.950	0.050	0.830	0.764	3.7881745073753754E18	0.245	0.000	38038.846	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.487	0.673	40054.675	1.422
1177	310	109.606	171.699	95.757	158.052	185.238	85.694	689456.119	9435.434	539.409	12719.893	433.779	0.638	0.693	0.481	0.463	0.408	0.742	0.258	0.804	0.623	2.635531186846185E18	0.212	0.000	37741.736	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.651	0.606	50879.572	2.162
348	179	109.483	132.535	110.878	138.551	119.700	108.155	687135.752	9414.252	416.370	10259.914	385.456	0.826	0.790	0.624	0.904	0.682	0.918	0.082	0.926	0.613	2.6352497215690694E18	0.254	0.000	37657.008	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.250	0.800	41039.657	1.107
684	234	108.098	134.136	99.320	131.077	126.380	93.774	661389.035	9177.593	421.402	9587.409	359.214	0.806	0.825	0.680	0.742	0.649	0.957	0.043	0.852	0.705	3.8061894556407366E18	0.236	0.000	36710.370	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.320	0.758	38349.636	1.348
1300	341	107.994	156.548	77.109	182.145	187.121	71.539	659464.684	9159.782	491.811	10772.973	430.646	0.690	0.593	0.352	0.382	0.476	0.850	0.150	0.876	0.652	3.6440554700355136E18	0.276	0.000	36639.128	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.362	0.423	43091.893	2.616
580	218	107.563	138.778	94.490	150.411	142.487	84.835	651603.514	9086.845	435.983	9860.788	379.330	0.775	0.715	0.511	0.595	0.601	0.922	0.078	0.870	0.639	5.0626894211418125E18	0.248	0.000	36347.378	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.592	0.628	39443.154	1.680
1137	300	106.256	135.272	84.510	141.547	145.842	79.399	628140.149	8867.376	424.970	9560.697	372.595	0.785	0.751	0.564	0.544	0.617	0.927	0.073	0.877	0.741	3.6620699382229382E18	0.242	0.000	35469.506	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.675	0.597	38242.787	1.837
838	257	105.889	125.493	93.644	141.909	138.789	88.164	621658.791	8806.273	394.249	9657.061	373.447	0.844	0.746	0.557	0.635	0.712	0.912	0.088	0.947	0.663	2.6352497040994566E18	0.178	0.000	35225.093	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.515	0.660	38628.243	1.574
1000	277	105.800	123.206	104.552	121.474	109.756	103.017	620087.401	8791.428	387.062	9214.961	345.935	0.859	0.871	0.759	0.939	0.737	0.954	0.046	0.894	0.692	2.7613504927260768E18	0.246	0.000	35165.712	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.162	0.861	36859.844	1.065
629	225	105.529	117.133	104.683	113.968	107.327	104.120	615334.903	8746.451	367.984	8981.731	339.828	0.901	0.926	0.857	0.970	0.812	0.974	0.026	0.923	0.733	2.653264101671545E18	0.201	0.000	34985.803	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.089	0.919	35926.923	1.031
1514	419	105.018	116.082	97.897	119.361	113.878	98.038	606434.374	8661.903	364.683	8993.674	344.296	0.905	0.880	0.774	0.861	0.818	0.963	0.037	0.944	0.741	2.7793638604436454E18	0.214	0.000	34647.614	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.219	0.820	35974.696	1.162
10	87	103.878	114.704	102.941	116.996	105.774	103.054	586907.835	8474.955	360.352	8871.356	343.729	0.906	0.888	0.788	0.974	0.820	0.955	0.045	0.954	0.704	2.6378176125327856E18	0.262	0.000	33899.821	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.137	0.880	35485.424	1.026
581	218	103.575	127.209	96.693	121.110	116.583	93.304	581784.087	8425.558	399.639	8793.885	341.220	0.814	0.855	0.731	0.800	0.663	0.958	0.042	0.854	0.719	3.7881745148913677E18	0.251	0.000	33702.232	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.253	0.798	35175.540	1.249
1350	353	103.181	135.247	75.382	165.997	158.550	72.973	575167.702	8361.557	424.890	9276.090	400.255	0.763	0.622	0.386	0.460	0.582	0.901	0.099	0.942	0.668	2.6352844078402954E18	0.225	0.000	33446.226	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.202	0.454	37104.361	2.173
1360	355	103.038	117.575	99.890	114.108	104.302	103.107	572785.963	8338.457	369.374	8667.996	338.975	0.876	0.903	0.815	0.989	0.768	0.962	0.038	0.918	0.732	2.6375010220547251E18	0.218	0.000	33353.828	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.142	0.875	34671.985	1.012
1426	370	102.757	125.529	92.862	123.931	117.049	92.651	568117.607	8293.089	394.362	8640.142	344.170	0.819	0.829	0.687	0.792	0.670	0.960	0.040	0.873	0.721	2.6375362931504102E18	0.237	0.000	33172.354	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.335	0.749	34560.569	1.263
1486	394	102.748	120.689	95.721	121.540	117.171	91.684	567965.498	8291.609	379.155	8594.012	340.996	0.851	0.845	0.715	0.782	0.725	0.965	0.035	0.899	0.713	3.7701563208240755E18	0.236	0.000	33166.435	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.270	0.788	34376.048	1.278
472	200	102.707	116.759	102.033	111.385	105.834	100.095	567287.083	8285.004	366.809	8626.326	334.881	0.880	0.922	0.850	0.946	0.774	0.960	0.040	0.913	0.729	2.6352849552949667E18	0.225	0.000	33140.015	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.092	0.916	34505.304	1.057
1138	300	102.565	115.409	101.016	113.777	112.562	95.568	564939.107	8262.128	362.567	8686.069	342.362	0.889	0.901	0.813	0.849	0.790	0.951	0.049	0.944	0.719	2.6352491534038886E18	0.244	0.000	33048.511	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.126	0.888	34744.278	1.178
669	233	102.098	107.853	100.562	112.530	103.688	101.351	557248.052	8186.969	338.829	8358.078	329.650	0.947	0.907	0.823	0.977	0.896	0.980	0.020	0.973	0.723	2.6355306295738502E18	0.187	0.000	32747.876	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.119	0.894	33432.312	1.023
1157	305	101.910	117.435	97.873	115.713	107.782	97.017	554182.458	8156.916	368.934	8481.045	333.051	0.868	0.881	0.776	0.900	0.753	0.962	0.038	0.903	0.720	3.788452209225447E18	0.254	0.000	32627.665	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.182	0.846	33924.181	1.111
1315	346	101.870	115.204	97.049	120.585	109.372	96.350	553528.060	8150.494	361.923	8561.113	338.860	0.884	0.845	0.714	0.881	0.782	0.952	0.048	0.936	0.696	2.962041601348151E18	0.190	0.000	32601.975	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.243	0.805	34244.452	1.135
385	185	101.681	119.726	92.115	116.531	114.102	90.739	550448.549	8120.235	376.131	8405.441	330.355	0.849	0.873	0.761	0.795	0.721	0.966	0.034	0.878	0.756	3.6440906542904205E18	0.238	0.000	32480.940	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.265	0.790	33621.766	1.257
609	223	101.632	112.493	94.906	115.563	108.699	96.597	549651.296	8112.392	353.406	8545.372	337.650	0.903	0.879	0.773	0.889	0.816	0.949	0.051	0.955	0.740	2.6352491535215584E18	0.183	0.000	32449.570	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.218	0.821	34181.487	1.125
