Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
9547	293	64.384	90.174	49.440	97.525	101.826	45.549	139746.439	3255.752	283.290	3987.172	248.951	0.714	0.660	0.436	0.447	0.510	0.817	0.183	0.879	0.675	2.6352541699259197E18	0.244	0.000	13023.007	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.973	0.507	15948.689	2.236
5671	228	63.687	113.905	45.707	118.658	126.680	42.086	135255.250	3185.617	357.843	4491.350	286.425	0.559	0.537	0.288	0.332	0.313	0.709	0.291	0.800	0.587	2.7794398027326192E18	0.308	0.000	12742.468	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.596	0.385	17965.401	3.010
8385	270	55.536	64.138	44.510	71.343	70.092	44.076	89687.026	2422.389	201.494	2525.154	186.164	0.866	0.778	0.606	0.629	0.750	0.959	0.041	0.924	0.763	3.7884175081737939E18	0.279	0.000	9689.556	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.603	0.624	10100.614	1.590
4048	205	55.043	80.411	43.398	94.018	96.525	39.314	87318.124	2379.544	252.617	2999.993	226.211	0.685	0.585	0.343	0.407	0.469	0.793	0.207	0.895	0.583	2.6535807706819603E18	0.307	0.000	9518.175	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.166	0.462	11999.971	2.455
4921	218	54.281	62.187	46.117	70.559	70.530	43.795	83743.565	2314.151	195.365	2426.553	187.443	0.873	0.769	0.592	0.621	0.762	0.954	0.046	0.959	0.711	2.7813710190733046E18	0.270	0.000	9256.605	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.530	0.654	9706.211	1.610
5434	223	54.128	65.180	46.845	76.526	72.409	43.197	83036.376	2301.105	204.770	2500.205	193.212	0.830	0.707	0.500	0.597	0.690	0.920	0.080	0.944	0.642	3.7904676862504282E18	0.268	0.000	9204.419	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.634	0.612	10000.821	1.676
12838	396	53.374	68.807	45.613	75.118	81.151	40.383	79614.179	2237.438	216.163	2624.450	202.446	0.776	0.711	0.505	0.498	0.602	0.853	0.147	0.937	0.653	3.7884565997366246E18	0.288	0.000	8949.754	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.647	0.607	10497.798	2.010
8022	267	53.361	58.247	46.761	65.373	65.532	44.324	79556.297	2236.354	182.989	2328.980	178.069	0.916	0.816	0.666	0.676	0.839	0.960	0.040	0.973	0.732	2.6352848961048832E18	0.220	0.000	8945.416	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.398	0.715	9315.920	1.478
4990	219	53.181	62.729	42.709	71.892	74.406	38.962	78751.264	2221.242	197.069	2424.848	186.076	0.848	0.740	0.547	0.524	0.719	0.916	0.084	0.944	0.723	2.6352855071002282E18	0.231	0.000	8884.966	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.683	0.594	9699.394	1.910
