Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
9878	282	106.428	134.247	80.016	148.735	148.062	79.577	631197.396	8896.126	421.748	9956.636	385.444	0.793	0.716	0.512	0.537	0.628	0.893	0.107	0.914	0.747	2.6355362743858758E18	0.217	0.000	35584.506	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.859	0.538	39826.546	1.861
2434	171	95.391	113.249	93.252	107.246	103.048	89.698	454482.680	7146.647	355.783	7629.645	317.363	0.842	0.889	0.791	0.870	0.709	0.937	0.063	0.892	0.715	3.788206410511824E18	0.249	0.000	28586.589	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.150	0.870	30518.580	1.149
6554	237	92.723	156.691	107.853	122.867	117.426	98.925	417402.592	6752.442	492.258	8944.010	368.477	0.592	0.755	0.570	0.842	0.350	0.755	0.245	0.749	0.510	2.6355357246474352E18	0.378	0.000	27009.768	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.139	0.878	35776.041	1.187
11330	303	91.913	111.691	86.245	114.843	110.476	79.239	406560.238	6634.997	350.888	7404.283	316.744	0.823	0.800	0.641	0.717	0.677	0.896	0.104	0.903	0.670	2.6355355847605053E18	0.188	0.000	26539.989	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.332	0.751	29617.131	1.394
4503	209	91.703	118.071	82.734	110.031	108.539	81.246	403790.208	6604.825	370.932	7444.485	318.295	0.777	0.833	0.695	0.749	0.603	0.887	0.113	0.858	0.726	2.6513328792714374E18	0.226	0.000	26419.299	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.330	0.752	29777.939	1.336
8876	268	90.362	110.695	81.891	110.887	103.766	79.762	386329.157	6413.018	347.758	6684.616	299.806	0.816	0.815	0.664	0.769	0.666	0.959	0.041	0.862	0.706	3.6463111868761837E18	0.241	0.000	25652.071	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.354	0.739	26738.463	1.301
609	120	89.438	110.629	73.678	113.651	113.487	71.461	374600.093	6282.551	347.551	6673.527	303.329	0.808	0.787	0.619	0.630	0.654	0.941	0.059	0.873	0.750	3.6440555473976512E18	0.239	0.000	25130.205	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.543	0.648	26694.110	1.588
14564	389	89.381	103.151	81.440	109.472	103.553	78.114	373875.495	6274.447	324.057	6575.136	297.316	0.867	0.816	0.667	0.754	0.751	0.954	0.046	0.917	0.704	3.6440555387912006E18	0.217	0.000	25097.787	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.344	0.744	26300.544	1.326
8092	258	88.888	122.217	77.643	127.277	128.605	74.312	367735.004	6205.557	383.956	7440.872	327.789	0.727	0.698	0.488	0.578	0.529	0.834	0.166	0.854	0.628	2.6352491533871155E18	0.318	3.568	24822.228	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.639	0.610	29763.490	1.731
421	110	88.192	119.215	58.804	129.678	136.927	59.661	359160.190	6108.711	374.526	6859.978	334.068	0.740	0.680	0.463	0.436	0.547	0.890	0.110	0.892	0.801	2.6352492233000976E18	0.274	0.000	24434.844	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.205	0.453	27439.911	2.295
11403	304	87.975	113.849	68.695	131.685	129.259	64.091	356519.626	6078.734	357.666	6988.877	325.399	0.773	0.668	0.446	0.496	0.597	0.870	0.130	0.910	0.672	3.7882064007330336E18	0.202	0.000	24314.934	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.917	0.522	27955.508	2.017
11006	298	87.476	97.901	78.625	106.933	102.283	77.409	350480.109	6009.888	307.566	6225.696	295.929	0.894	0.818	0.669	0.757	0.798	0.965	0.035	0.962	0.715	2.6352843291692333E18	0.197	0.000	24039.553	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.360	0.735	24902.785	1.321
1734	156	86.193	110.647	74.656	121.636	115.698	69.639	335285.235	5834.905	347.609	6556.669	315.021	0.779	0.709	0.502	0.602	0.607	0.890	0.110	0.906	0.643	2.6355300796796534E18	0.226	0.000	23339.620	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.629	0.614	26226.677	1.661
