Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
878,86,116.58,121.264,113.372,121.569,119.302,114.024,829609.491,10674.314,380.961,10815.687,370.463,0.961,0.959,0.92,0.956,0.924,0.987,0.013,0.972,0.774,2635249703143179776,0.203,0,42697.255,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.072,0.933,43262.746,1.046,0,0,0.0,0
9253,217,110.04,139.563,110.631,116.056,110.543,109.905,697663.882,9510.17,438.451,9945.986,356.297,0.788,0.948,0.899,0.994,0.622,0.956,0.044,0.813,0.741,5062970837167840256,0.272,0,38040.679,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.049,0.953,39783.943,1.006,157.255,60.476,0.0,0
10753,243,125.794,159.38,108.899,153.434,151.187,109.32,1042267.659,12428.26,500.708,13498.155,428.233,0.789,0.82,0.672,0.723,0.623,0.921,0.079,0.855,0.744,3646311189011310080,0.259,0,49713.042,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.409,0.71,53992.622,1.383,179.616,69.194,0.0,0
6745,177,118.135,133.671,108.366,145.974,136.478,104.041,863235.6,10960.836,419.941,11638.898,396.307,0.884,0.809,0.655,0.762,0.781,0.942,0.058,0.944,0.693,2635535113534380032,0.197,0,43843.344,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.347,0.742,46555.594,1.312,0,0,0.0,0
7539,189,108.534,151.088,107.225,131.672,123.487,102.349,669420.229,9251.739,474.657,10295.587,378.379,0.718,0.824,0.679,0.829,0.516,0.899,0.101,0.797,0.655,3930316140951540224,0.295,0,37006.956,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.228,0.814,41182.347,1.207,186.375,49.64,0.0,0
8971,213,110.56,120.66,105.751,123.278,118.153,104.116,707615.688,9600.394,379.065,9847.988,356.457,0.916,0.897,0.804,0.881,0.84,0.975,0.025,0.94,0.736,3914552854891530240,0.239,0,38401.578,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.166,0.858,39391.953,1.135,0,0,0.0,0
3880,135,116.221,143.636,104.8,137.894,137.765,100.018,821964.195,10608.633,451.244,11287.741,388.173,0.809,0.843,0.71,0.726,0.655,0.94,0.06,0.86,0.734,3786200341883230208,0.295,0,42434.532,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.316,0.76,45150.965,1.377,156.028,67.992,0.0,0
1730,103,104.665,115.248,102.9,108.002,106.318,103.105,600340.995,8603.783,362.062,8801.752,333.858,0.908,0.969,0.939,0.97,0.825,0.978,0.022,0.922,0.774,3788205912174199808,0.21,0,34415.133,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.05,0.953,35207.007,1.031,0,0,0.0,0
16,46,121.08,149.248,102.316,156.197,152.328,97.314,929429.001,11514.232,468.876,12179.282,409.725,0.811,0.775,0.601,0.639,0.658,0.945,0.055,0.874,0.72,3644055531138160128,0.243,0,46056.926,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.527,0.655,48717.13,1.565,161.633,71.237,0.0,0
218,66,111.172,129.399,98.84,140.799,138.586,93.35,719426.784,9706.929,406.52,10299.96,378.96,0.859,0.79,0.623,0.674,0.738,0.942,0.058,0.932,0.698,2779650772968509952,0.217,0,38827.717,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.425,0.702,41199.841,1.485,121.763,79.72,0.0,0
