Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
3512,212,89.851,100.474,85.926,96.299,94.973,85.101,379812.543,6340.697,315.647,6507.916,288.218,0.894,0.933,0.871,0.896,0.8,0.974,0.026,0.913,0.766,3770469139400699904,0.23,0,25362.788,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.121,0.892,26031.664,1.116,0,0,25.103333333333335,1
6924,347,83.737,108.979,81.052,103.022,95.048,78.103,307434.147,5507.133,342.366,6109.231,291.037,0.768,0.813,0.661,0.822,0.59,0.901,0.099,0.85,0.66,2635249153403890176,0.289,0,22028.532,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.271,0.787,24436.925,1.217,126.101,43.672,25.103333333333335,1
1847,142,88.421,112.925,80.87,102.668,99.794,78.844,361960.597,6140.423,354.764,6466.419,291.282,0.783,0.861,0.742,0.79,0.613,0.95,0.05,0.821,0.74,2653509903706330112,0.274,0,24561.694,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.27,0.788,25865.674,1.266,127.83,48.036,25.103333333333335,1
968,103,80.046,93.379,79.182,87.623,82.632,78.6,268544.587,5032.321,293.359,5227.046,262.667,0.857,0.914,0.835,0.951,0.735,0.963,0.037,0.895,0.725,2651042607262700032,0.27,0,20129.286,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.107,0.904,20908.182,1.051,87.266,57.667,25.103333333333335,1
1457,124,83.543,133.517,78.791,115.033,106.886,77.06,305298.997,5481.604,419.455,6666.68,309.077,0.626,0.726,0.527,0.721,0.392,0.822,0.178,0.737,0.605,2779364891099210240,0.251,0,21926.418,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.46,0.685,26666.721,1.387,177.64,30.858,25.103333333333335,1
7105,354,78.343,118.691,78.546,109.71,98.509,71.357,251766.99,4820.477,372.879,5941.741,292.061,0.66,0.714,0.51,0.724,0.436,0.811,0.189,0.783,0.559,3786199784355570176,0.284,0,19281.907,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.397,0.716,23766.965,1.381,153.933,31.315,25.103333333333335,1
5187,285,67.218,116.035,78.351,95.474,79.842,75.921,159019.467,3548.605,364.533,4958.58,272.508,0.579,0.704,0.496,0.951,0.336,0.716,0.284,0.748,0.474,3803410535854490112,0.374,0,14194.421,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.219,0.821,19834.319,1.052,158.569,22.379,25.103333333333335,1
1667,133,84.651,121.483,78.018,109.434,112.063,71.801,317613.648,5628.037,381.649,6738.796,309.358,0.697,0.774,0.598,0.641,0.486,0.835,0.165,0.811,0.659,3770156260576829952,0.336,0,22512.147,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.403,0.713,26955.185,1.561,152.567,36.889,25.103333333333335,1
6038,318,81.309,102.267,76.863,97.707,92.161,75.719,281456.542,5192.363,321.28,5677.773,279,0.795,0.832,0.693,0.822,0.632,0.915,0.085,0.868,0.691,2777992152060890112,0.273,0,20769.453,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.271,0.787,22711.091,1.217,113.33,45.816,25.103333333333335,1
1360,119,82.006,97.565,76.13,95.353,97.063,72.903,288758.75,5281.787,306.511,5730.342,279.451,0.841,0.86,0.74,0.751,0.706,0.922,0.078,0.912,0.728,3646343022403270144,0.263,0,21127.149,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.253,0.798,22921.368,1.331,97.531,54.155,25.103333333333335,1
