Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
6920	162	68.573	96.952	53.028	112.751	110.156	46.900	168831.785	3693.122	304.584	4237.453	268.947	0.707	0.608	0.370	0.426	0.500	0.872	0.128	0.883	0.618	2.6355311879220285E18	0.265	0.000	14772.487	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.126	0.470	16949.810	2.349
3448	129	62.770	75.317	53.369	81.985	78.519	53.657	129494.825	3094.514	236.617	3400.519	222.052	0.833	0.766	0.586	0.683	0.695	0.910	0.090	0.938	0.707	3.7724086101276845E18	0.210	0.000	12378.055	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.536	0.651	13602.078	1.463
3533	129	59.644	112.309	51.280	106.831	100.200	43.735	111094.556	2793.954	352.830	3861.162	253.642	0.531	0.558	0.312	0.436	0.282	0.724	0.276	0.719	0.510	2.6535511540704768E18	0.328	0.000	11175.818	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.083	0.480	15444.649	2.291
2374	119	59.124	77.360	52.988	82.031	83.147	50.514	108215.605	2745.474	243.034	3265.597	214.950	0.764	0.721	0.519	0.608	0.584	0.841	0.159	0.884	0.632	2.6352492223942022E18	0.343	3.217	10981.897	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.548	0.646	13062.389	1.646
1396	106	58.547	65.335	50.901	72.447	71.803	49.823	105076.226	2692.116	205.255	2844.497	197.506	0.896	0.808	0.653	0.694	0.803	0.946	0.054	0.962	0.730	2.6352492233337261E18	0.261	0.000	10768.464	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.423	0.703	11377.987	1.441
7373	165	57.613	62.785	55.893	63.444	60.541	55.647	100129.187	2606.941	197.245	2687.646	188.108	0.918	0.908	0.825	0.919	0.842	0.970	0.030	0.954	0.735	2.6352491544608547E18	0.231	0.000	10427.766	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.135	0.881	10750.584	1.088
5193	145	57.588	60.764	50.040	69.091	68.054	49.269	99996.585	2604.639	190.896	2638.948	188.183	0.948	0.834	0.695	0.724	0.898	0.987	0.013	0.986	0.753	3.7904269333337069E18	0.195	0.000	10418.558	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.381	0.724	10555.794	1.381
5867	148	57.040	73.696	52.360	75.852	65.530	50.639	97170.781	2555.336	231.524	2747.418	198.408	0.774	0.752	0.565	0.773	0.599	0.930	0.070	0.857	0.643	3.9295100688359187E18	0.287	0.000	10221.343	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.449	0.690	10989.671	1.294
6282	155	55.413	63.455	47.335	66.055	64.827	48.115	89093.166	2411.684	199.349	2547.576	184.852	0.873	0.839	0.704	0.742	0.763	0.947	0.053	0.927	0.771	2.6375368347189434E18	0.293	0.000	9646.736	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.395	0.717	10190.303	1.347
7324	165	55.402	81.224	50.958	83.874	82.231	42.626	89036.919	2410.669	255.173	3014.047	213.278	0.682	0.661	0.436	0.518	0.465	0.800	0.200	0.836	0.564	3.6440560284171821E18	0.272	0.000	9642.676	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.646	0.608	12056.190	1.929
6124	152	54.523	64.857	37.086	85.001	86.930	34.914	84865.999	2334.784	203.754	2427.580	200.731	0.841	0.641	0.411	0.402	0.707	0.962	0.038	0.985	0.741	2.6375015040494941E18	0.226	0.000	9339.134	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.292	0.436	9710.318	2.490
7047	163	54.391	56.176	52.052	59.220	57.269	51.781	84250.804	2323.487	176.481	2354.685	173.636	0.968	0.918	0.844	0.904	0.937	0.987	0.013	0.984	0.754	2.6352535600426989E18	0.195	0.000	9293.946	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.138	0.879	9418.739	1.106
3713	129	54.286	58.187	53.173	56.978	55.689	52.932	83765.429	2314.554	182.800	2371.597	173.941	0.933	0.953	0.908	0.950	0.870	0.976	0.024	0.952	0.764	2.6352491610545654E18	0.255	0.000	9258.217	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.072	0.933	9486.387	1.052
6779	162	53.822	88.640	54.016	73.650	79.668	46.831	81634.762	2275.137	278.470	2898.978	205.113	0.607	0.731	0.534	0.588	0.369	0.785	0.215	0.737	0.572	2.6352800085660973E18	0.350	0.000	9100.548	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.363	0.733	11595.911	1.701
6487	160	53.574	61.333	49.831	62.497	60.425	48.146	80511.654	2254.222	192.682	2412.866	177.931	0.873	0.857	0.735	0.797	0.763	0.934	0.066	0.923	0.724	3.8084412544831462E18	0.279	0.000	9016.887	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.254	0.797	9651.463	1.255
1544	109	53.529	55.639	51.875	57.325	55.224	51.950	80309.206	2250.441	174.796	2288.812	171.161	0.962	0.934	0.872	0.941	0.926	0.983	0.017	0.979	0.757	3.7904626600649869E18	0.222	0.000	9001.765	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.105	0.905	9155.249	1.063
6242	155	53.386	58.830	45.857	69.615	68.498	42.998	79669.203	2238.469	184.821	2323.508	181.494	0.907	0.767	0.588	0.628	0.823	0.963	0.037	0.982	0.701	2.6355350951318742E18	0.223	0.000	8953.877	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.518	0.659	9294.031	1.593
2404	119	52.712	54.227	51.301	55.209	54.329	51.187	76686.974	2182.254	170.360	2209.037	167.607	0.972	0.955	0.912	0.942	0.945	0.988	0.012	0.984	0.770	2.7636023012663117E18	0.213	0.000	8729.015	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.076	0.929	8836.146	1.061
6840	162	52.672	64.812	47.141	65.660	64.383	45.446	76512.079	2178.934	203.613	2442.211	183.774	0.813	0.802	0.644	0.706	0.660	0.892	0.108	0.903	0.704	2.6352497164670304E18	0.319	0.000	8715.737	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.393	0.718	9768.844	1.417
6293	155	52.670	59.439	47.551	60.007	59.846	46.793	76506.007	2178.819	186.733	2277.908	173.363	0.886	0.878	0.770	0.782	0.785	0.957	0.043	0.928	0.764	3.6463072697317875E18	0.277	0.000	8715.277	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.262	0.792	9111.631	1.279
6476	160	52.577	61.623	43.657	70.720	66.434	42.440	76102.117	2171.144	193.593	2283.541	181.186	0.853	0.743	0.553	0.639	0.728	0.951	0.049	0.936	0.703	5.0875741453252218E18	0.280	0.000	8684.576	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.620	0.617	9134.166	1.565
7683	612	52.516	60.984	50.719	60.357	56.255	49.343	75835.440	2166.069	191.586	2276.929	172.441	0.861	0.870	0.757	0.877	0.742	0.951	0.049	0.900	0.708	2.6352492221068179E18	0.291	0.000	8664.276	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.190	0.840	9107.715	1.140
7190	163	52.499	54.273	51.327	55.719	53.898	51.204	75762.469	2164.679	170.502	2196.893	167.617	0.967	0.942	0.888	0.950	0.936	0.985	0.015	0.983	0.757	3.6440554786446195E18	0.238	0.000	8658.717	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.086	0.921	8787.573	1.053
2046	116	52.373	63.438	47.622	69.748	69.697	43.181	75217.265	2154.282	199.296	2410.622	184.997	0.826	0.751	0.564	0.620	0.682	0.894	0.106	0.928	0.649	2.6352804992708208E18	0.256	0.000	8617.127	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.465	0.683	9642.487	1.614
3485	129	51.461	80.052	54.380	68.242	69.542	48.839	71354.738	2079.885	251.491	2703.131	190.810	0.643	0.754	0.569	0.702	0.413	0.769	0.231	0.759	0.560	2.6353246345375443E18	0.267	0.000	8319.540	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.255	0.797	10812.523	1.424
6951	162	51.042	54.622	49.383	57.282	54.295	48.143	69628.592	2046.205	171.600	2096.685	164.464	0.934	0.891	0.794	0.887	0.873	0.976	0.024	0.958	0.723	2.635249712825776E18	0.286	0.000	8184.821	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.160	0.862	8386.740	1.128
7113	163	50.962	66.522	47.223	64.680	58.838	45.006	69299.354	2039.750	208.986	2219.283	174.756	0.766	0.788	0.621	0.765	0.587	0.919	0.081	0.836	0.668	3.7732976363182342E18	0.331	0.000	8158.999	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.370	0.730	8877.132	1.307
4384	136	50.841	51.923	48.818	54.383	53.739	48.089	68810.168	2030.140	163.120	2053.123	161.460	0.979	0.935	0.874	0.895	0.959	0.989	0.011	0.990	0.765	3.78817561453984E18	0.202	0.000	8120.558	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.114	0.898	8212.494	1.117
6433	158	50.838	54.005	50.392	52.600	51.530	50.177	68795.905	2029.859	169.663	2082.983	162.633	0.941	0.966	0.934	0.974	0.886	0.974	0.026	0.959	0.766	2.6352536203067206E18	0.229	0.000	8119.436	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.044	0.958	8331.934	1.027
5888	148	50.804	67.733	33.164	86.249	91.861	30.417	68659.127	2027.167	212.789	2334.874	201.328	0.750	0.589	0.347	0.331	0.563	0.868	0.132	0.946	0.709	2.6535501220682E18	0.268	0.000	8108.670	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.601	0.385	9339.496	3.020
1602	111	50.591	52.963	48.187	56.167	53.628	48.361	67797.743	2010.177	166.387	2056.510	164.574	0.955	0.901	0.811	0.902	0.912	0.977	0.023	0.989	0.743	2.6535494937734816E18	0.213	0.000	8040.708	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.166	0.858	8226.039	1.109
956	97	50.295	55.186	47.600	61.466	58.116	45.452	66613.896	1986.708	173.371	2086.817	168.789	0.911	0.818	0.670	0.782	0.831	0.952	0.048	0.974	0.679	2.6352492231994675E18	0.213	0.000	7946.832	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.291	0.774	8347.267	1.279
1764	114	50.252	53.407	43.403	59.624	58.820	43.148	66446.299	1983.374	167.782	2021.971	163.917	0.941	0.843	0.710	0.734	0.885	0.981	0.019	0.977	0.766	2.6352491535233981E18	0.250	0.000	7933.497	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.374	0.728	8087.886	1.363
4984	142	50.251	58.854	44.223	65.664	64.610	40.294	66441.540	1983.280	184.897	2128.109	173.267	0.854	0.765	0.586	0.624	0.729	0.932	0.068	0.937	0.683	3.6624272968519667E18	0.296	0.000	7933.118	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.485	0.673	8512.437	1.603
7177	163	50.200	56.613	49.257	60.123	53.232	48.024	66238.083	1979.229	177.856	2084.055	167.318	0.887	0.835	0.697	0.902	0.786	0.950	0.050	0.941	0.668	3.7704422034944294E18	0.277	0.000	7916.914	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.221	0.819	8336.222	1.108
3536	129	50.186	71.543	38.352	79.007	80.635	35.385	66183.433	1978.140	224.760	2356.434	191.658	0.701	0.635	0.403	0.439	0.492	0.839	0.161	0.853	0.653	2.6354954451873773E18	0.348	0.000	7912.559	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.060	0.485	9425.737	2.279
7165	163	50.176	55.046	49.146	53.635	52.125	48.341	66141.497	1977.304	172.934	2053.192	161.772	0.912	0.935	0.875	0.927	0.831	0.963	0.037	0.935	0.750	2.635531240552151E18	0.275	0.000	7909.217	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.091	0.916	8212.768	1.078
3794	130	50.007	58.954	48.895	54.606	51.445	49.130	65478.322	1964.065	185.209	2073.938	164.098	0.848	0.916	0.839	0.955	0.720	0.947	0.053	0.886	0.736	2.6533037626243011E18	0.284	0.000	7856.260	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.117	0.895	8295.754	1.047
