Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
1234	128	60.989	75.562	50.674	78.487	81.734	47.789	118784.758	2921.446	237.386	3246.125	212.862	0.807	0.777	0.604	0.585	0.651	0.900	0.100	0.897	0.735	2.6352491535215917E18	0.241	0.000	11685.786	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.549	0.646	12984.501	1.710
1339	131	60.775	74.831	41.658	89.774	98.743	40.094	117533.967	2900.902	235.087	3255.075	224.717	0.812	0.677	0.458	0.406	0.660	0.891	0.109	0.956	0.776	2.6352492222599843E18	0.218	0.000	11603.608	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.155	0.464	13020.300	2.463
8451	292	60.724	76.682	44.338	87.373	97.261	41.918	117241.457	2896.087	240.902	3325.585	224.050	0.792	0.695	0.483	0.431	0.627	0.871	0.129	0.930	0.748	2.6352535611167069E18	0.283	0.000	11584.348	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.971	0.507	13302.338	2.320
1890	146	59.274	79.141	48.087	82.893	93.782	43.641	109042.853	2759.448	248.628	3302.900	220.317	0.749	0.715	0.511	0.465	0.561	0.835	0.165	0.886	0.692	2.6352492319239194E18	0.249	0.000	11037.793	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.724	0.580	13211.599	2.149
6267	241	57.546	72.956	43.547	84.227	83.189	40.947	99779.956	2600.876	229.200	2810.599	207.041	0.789	0.683	0.467	0.492	0.622	0.925	0.075	0.903	0.709	2.6510117520996858E18	0.305	0.000	10403.505	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.934	0.517	11242.397	2.032
3767	188	56.362	64.346	44.778	76.983	75.659	44.141	93748.930	2494.987	202.148	2660.268	196.201	0.876	0.732	0.536	0.583	0.767	0.938	0.062	0.971	0.724	2.6355357246513709E18	0.230	0.000	9979.949	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.719	0.582	10641.070	1.714
7289	263	55.319	70.505	46.292	73.860	72.460	42.686	88638.424	2403.471	221.499	2572.203	191.138	0.785	0.749	0.561	0.589	0.616	0.934	0.066	0.863	0.703	2.651012361953584E18	0.353	0.000	9613.883	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.596	0.627	10288.811	1.698
2213	153	54.781	64.047	38.966	77.534	80.669	38.111	86077.926	2356.959	201.210	2540.589	194.588	0.855	0.707	0.499	0.472	0.732	0.928	0.072	0.967	0.780	2.6375367649278227E18	0.210	0.000	9427.835	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.990	0.503	10162.354	2.117
8051	282	54.121	61.264	49.378	65.604	68.489	45.556	83002.914	2300.487	192.467	2471.559	184.867	0.883	0.825	0.681	0.665	0.780	0.931	0.069	0.961	0.710	3.644091283792841E18	0.207	0.000	9201.947	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.329	0.753	9886.238	1.503
2247	154	54.096	63.042	45.578	73.671	72.547	42.765	82890.578	2298.411	198.053	2488.042	191.722	0.858	0.734	0.539	0.589	0.736	0.924	0.076	0.968	0.684	2.6352585765648006E18	0.179	0.000	9193.642	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.616	0.619	9952.168	1.696
2034	149	53.367	59.483	43.308	67.122	67.292	43.088	79581.393	2236.824	186.872	2307.274	179.859	0.897	0.795	0.632	0.640	0.805	0.969	0.031	0.962	0.769	3.6440554709939507E18	0.267	0.000	8947.296	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.550	0.645	9229.097	1.562
10866	370	53.260	61.881	50.224	59.571	57.703	49.310	79103.781	2227.865	194.405	2342.655	173.879	0.861	0.894	0.799	0.855	0.741	0.951	0.049	0.894	0.745	3.7882059197113734E18	0.302	0.000	8911.462	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.186	0.843	9370.618	1.170
