Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
659	145	87.730	131.671	71.149	146.298	150.310	66.753	353546.392	6044.890	413.655	7815.554	355.691	0.666	0.600	0.360	0.444	0.444	0.773	0.227	0.860	0.581	2.6352492135166918E18	0.395	0.000	24179.559	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.056	0.486	31262.215	2.252
6856	326	82.904	106.397	68.134	112.607	114.625	64.282	298348.732	5398.091	334.255	5990.231	291.783	0.779	0.736	0.542	0.561	0.607	0.901	0.099	0.873	0.704	2.6352491619940538E18	0.245	0.000	21592.366	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.653	0.605	23960.924	1.783
226	114	82.582	96.393	59.703	116.695	114.993	59.494	294882.343	5356.199	302.829	5482.209	285.639	0.857	0.708	0.501	0.517	0.734	0.977	0.023	0.943	0.769	2.6352491533870787E18	0.220	0.000	21424.795	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.955	0.512	21928.838	1.933
3178	228	76.094	117.262	60.890	113.639	123.838	59.852	230697.696	4547.642	368.390	5713.318	290.184	0.649	0.670	0.448	0.483	0.421	0.796	0.204	0.788	0.657	2.6352844163127562E18	0.387	4.184	18190.568	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.866	0.536	22853.274	2.069
7140	336	73.940	89.829	63.063	98.437	95.939	58.842	211661.040	4293.895	282.205	4704.561	256.745	0.823	0.751	0.564	0.613	0.678	0.913	0.087	0.910	0.692	3.7904225352874573E18	0.257	0.000	17175.581	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.561	0.641	18818.242	1.630
6528	316	73.012	80.030	59.510	91.835	94.957	57.291	203790.678	4186.782	251.423	4338.405	245.317	0.912	0.795	0.632	0.603	0.832	0.965	0.035	0.976	0.766	3.6620704279857581E18	0.206	0.000	16747.126	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.543	0.648	17353.619	1.657
6799	324	72.785	86.947	59.410	103.675	96.650	56.064	201895.189	4160.780	273.151	4416.518	254.846	0.837	0.702	0.493	0.580	0.701	0.942	0.058	0.933	0.676	3.6460565898050368E18	0.251	0.000	16643.120	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.745	0.573	17666.072	1.724
1137	168	72.754	92.571	66.581	98.616	106.333	56.299	201634.713	4157.201	290.821	4903.030	266.575	0.786	0.738	0.544	0.529	0.618	0.848	0.152	0.917	0.633	2.6352491631894675E18	0.207	0.000	16628.804	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.481	0.675	19612.119	1.889
1514	183	72.345	91.387	62.501	101.200	97.089	55.767	198258.598	4110.666	287.100	4522.659	255.968	0.792	0.715	0.511	0.574	0.627	0.909	0.091	0.892	0.650	2.6377874032457302E18	0.247	0.000	16442.662	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.619	0.618	18090.636	1.741
4825	268	72.253	85.390	64.093	94.913	91.123	61.513	197498.983	4100.159	268.260	4554.397	253.846	0.846	0.761	0.580	0.675	0.716	0.900	0.100	0.946	0.674	2.6352535600214272E18	0.220	0.000	16400.637	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.481	0.675	18217.590	1.481
3247	229	71.997	81.992	69.957	86.261	79.349	67.364	195403.960	4071.112	257.585	4311.105	243.673	0.878	0.835	0.697	0.849	0.771	0.944	0.056	0.946	0.675	2.6558419936388838E18	0.225	0.000	16284.449	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.233	0.811	17244.421	1.178
3573	238	71.529	91.775	70.124	83.263	80.565	68.465	191618.229	4018.358	288.320	4423.162	249.019	0.779	0.859	0.738	0.850	0.607	0.908	0.092	0.864	0.688	3.7881711390321267E18	0.291	0.000	16073.434	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.187	0.842	17692.646	1.177
1889	194	71.323	96.370	70.865	99.954	95.323	63.637	189970.814	3995.294	302.755	4804.858	266.149	0.740	0.714	0.509	0.668	0.548	0.832	0.168	0.879	0.564	2.7791175011193507E18	0.276	0.000	15981.175	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.410	0.709	19219.432	1.498
6786	324	70.778	89.951	52.020	105.125	108.845	49.771	185653.161	3934.525	282.590	4451.775	262.123	0.787	0.673	0.453	0.457	0.619	0.884	0.116	0.928	0.719	2.6352838568573475E18	0.252	0.000	15738.102	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.021	0.495	17807.100	2.187
2518	211	70.491	89.272	60.089	99.195	100.483	55.013	183398.567	3902.607	280.456	4471.328	257.992	0.790	0.711	0.505	0.547	0.623	0.873	0.127	0.920	0.655	2.6352492231992422E18	0.266	0.000	15610.427	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.651	0.606	17885.311	1.827
7468	350	70.425	73.559	61.335	81.736	81.636	60.962	182883.462	3895.296	231.093	3936.199	227.349	0.957	0.862	0.742	0.747	0.917	0.990	0.010	0.984	0.777	3.7724438021693619E18	0.193	0.000	15581.183	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.333	0.750	15744.796	1.339
6115	303	70.296	79.820	58.024	96.345	94.857	52.882	181886.046	3881.120	250.763	4069.864	243.126	0.881	0.730	0.532	0.557	0.776	0.954	0.046	0.970	0.694	2.6532993731677523E18	0.200	0.000	15524.480	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.660	0.602	16279.457	1.794
1757	190	70.186	81.356	58.253	85.522	85.091	58.644	181030.650	3868.942	255.588	4064.846	234.219	0.863	0.821	0.674	0.689	0.744	0.952	0.048	0.916	0.777	2.6352535515531603E18	0.235	0.000	15475.769	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.468	0.681	16259.383	1.451
