Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
682	423	188.116	276.365	144.659	319.611	327.629	123.120	3485567.939	27793.281	868.226	33984.840	761.219	0.681	0.589	0.346	0.376	0.463	0.818	0.182	0.877	0.601	3.7882064611268134E18	0.341	0.000	111173.123	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.209	0.453	135939.360	2.661
553	252	176.447	233.961	132.855	243.974	248.834	129.045	2876326.535	24452.107	735.010	25948.478	621.877	0.754	0.723	0.523	0.519	0.569	0.942	0.058	0.846	0.754	3.646307820563671E18	0.209	0.000	97808.428	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.836	0.545	103793.912	1.928
371	192	174.405	202.058	165.617	187.188	182.154	167.560	2777617.015	23889.424	634.783	24427.980	559.122	0.863	0.932	0.868	0.920	0.745	0.978	0.022	0.881	0.771	2.77936435018712E18	0.198	0.000	95557.697	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.130	0.885	97711.921	1.087
33	69	167.434	216.934	147.715	217.745	212.661	142.140	2457682.017	22017.835	681.517	24126.617	593.299	0.772	0.769	0.591	0.668	0.596	0.913	0.087	0.871	0.685	2.7793648310894397E18	0.240	0.000	88071.339	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.474	0.678	96506.469	1.496
393	199	163.675	265.554	172.494	227.029	218.983	157.619	2295864.363	21040.445	834.262	27893.700	644.561	0.616	0.721	0.520	0.720	0.380	0.754	0.246	0.773	0.537	2.637536695935448E18	0.183	0.000	84161.781	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.316	0.760	111574.799	1.389
501	234	162.961	225.688	139.194	214.972	216.773	133.422	2265933.775	20857.180	709.018	23240.073	577.565	0.722	0.758	0.575	0.615	0.521	0.897	0.103	0.815	0.697	3.7881706579774099E18	0.229	0.000	83428.718	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.544	0.647	92960.291	1.625
518	238	162.594	182.674	134.889	203.712	196.846	136.908	2250675.115	20763.440	573.887	21301.711	544.481	0.890	0.798	0.637	0.696	0.792	0.975	0.025	0.949	0.756	2.6352843389695242E18	0.182	0.000	83053.760	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.510	0.662	85206.844	1.438
534	244	162.579	215.183	171.418	193.810	189.761	163.871	2250046.474	20759.577	676.019	24357.785	584.120	0.756	0.839	0.704	0.864	0.571	0.852	0.148	0.864	0.625	2.7773940252329718E18	0.164	0.000	83038.308	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.131	0.884	97431.138	1.158
446	214	161.042	226.581	128.889	213.805	213.153	130.692	2186848.310	20369.010	711.827	22286.085	581.860	0.711	0.753	0.567	0.613	0.505	0.914	0.086	0.817	0.739	3.7901454497334362E18	0.240	0.000	81476.040	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.659	0.603	89144.342	1.631
179	128	161.007	195.125	151.863	190.082	179.981	149.351	2185414.786	20360.107	613.005	21658.937	540.348	0.825	0.847	0.717	0.830	0.681	0.940	0.060	0.881	0.705	3.7882058425004947E18	0.242	0.000	81440.426	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.252	0.799	86635.746	1.205
25	60	160.147	225.097	129.081	231.053	237.066	118.923	2150563.285	20143.067	707.162	23230.856	579.724	0.711	0.693	0.480	0.502	0.506	0.867	0.133	0.820	0.675	3.6463122273511814E18	0.180	0.000	80572.270	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.790	0.559	92923.425	1.993
530	243	159.104	181.414	128.521	198.498	201.606	127.386	2108848.450	19881.740	569.928	20341.396	532.037	0.877	0.802	0.642	0.632	0.769	0.977	0.023	0.934	0.779	3.662069877034297E18	0.171	0.000	79526.961	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.544	0.647	81365.585	1.583
100	100	158.591	232.514	140.039	262.055	255.772	127.618	2088495.968	19753.614	730.465	24741.581	638.322	0.682	0.605	0.366	0.499	0.465	0.798	0.202	0.874	0.538	3.6623558113805741E18	0.169	0.000	79014.458	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.871	0.534	98966.323	2.004
526	241	158.586	227.178	129.884	264.324	251.110	112.493	2088301.702	19752.389	713.700	23724.619	623.808	0.698	0.600	0.360	0.448	0.487	0.833	0.167	0.874	0.575	2.6352491619772794E18	0.191	0.000	79009.555	Accept	Reject	Reject	Reject	Reject	Reject	Reject	2.035	0.491	94898.477	2.232
670	353	156.918	268.118	178.550	218.756	202.807	160.512	2023102.168	19339.090	842.318	25467.187	616.581	0.585	0.717	0.515	0.791	0.343	0.759	0.241	0.732	0.495	5.0694497085097024E18	0.492	0.000	77356.361	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.225	0.816	101868.749	1.264
539	246	156.402	198.626	157.232	177.957	164.858	152.864	2003203.013	19212.069	624.002	20930.065	531.163	0.787	0.879	0.772	0.927	0.620	0.918	0.082	0.851	0.687	2.7791928811697178E18	0.218	0.000	76848.276	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.132	0.884	83720.259	1.078
