Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
297	158	44.764	50.078	40.195	56.349	53.838	37.702	46966.997	1573.811	157.326	1649.259	150.090	0.894	0.794	0.631	0.700	0.799	0.954	0.046	0.954	0.695	2.65390135686002893E18	0.248	0.000	6295.246	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.402	0.713	6597.038	1.428	0.000	0.000
879	373	43.346	52.915	39.464	54.280	52.770	36.513	42642.433	1475.657	166.237	1599.712	148.195	0.819	0.799	0.638	0.692	0.671	0.922	0.078	0.891	0.689	2.63528497462885018E18	0.321	0.000	5902.629	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.375	0.727	6398.847	1.445	54.121	27.266
823	345	40.504	43.971	39.157	44.150	41.627	39.699	34794.194	1288.532	138.138	1334.971	131.461	0.921	0.917	0.842	0.954	0.849	0.965	0.035	0.952	0.745	2.77965085246110362E18	0.282	0.000	5154.130	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.128	0.887	5339.885	1.049	0.000	0.000
354	171	45.184	51.003	38.509	56.371	54.325	38.010	48300.654	1603.465	160.231	1678.714	152.025	0.886	0.802	0.642	0.700	0.785	0.955	0.045	0.949	0.739	3.80903561047902003E18	0.259	0.000	6413.859	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.464	0.683	6714.856	1.429	0.000	0.000
964	397	38.912	48.817	38.164	48.041	48.076	33.702	30849.516	1189.204	153.362	1348.969	136.939	0.797	0.810	0.656	0.701	0.635	0.882	0.118	0.893	0.649	2.63747513321663386E18	0.299	0.000	4756.816	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.259	0.794	5395.877	1.426	52.642	22.590
87	109	42.677	46.428	38.109	50.860	47.490	38.900	40700.050	1430.499	145.858	1481.978	141.183	0.919	0.839	0.704	0.819	0.845	0.965	0.035	0.968	0.738	2.8024849419040384E18	0.247	0.000	5721.994	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.335	0.749	5927.913	1.221	0.000	0.000
900	381	38.635	44.233	38.091	42.991	41.331	36.673	30194.665	1172.315	138.961	1234.081	127.464	0.873	0.899	0.808	0.887	0.763	0.950	0.050	0.917	0.716	2.76389271099996826E18	0.318	0.000	4689.259	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.129	0.886	4936.324	1.127	0.000	0.000
869	365	37.718	41.647	37.484	40.791	38.775	36.761	28095.444	1117.330	130.839	1167.548	122.500	0.906	0.925	0.855	0.948	0.820	0.957	0.043	0.936	0.731	3.7901768640976512E18	0.299	0.000	4469.319	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.088	0.919	4670.191	1.055	0.000	0.000
22	77	37.913	40.262	37.380	40.335	38.838	37.016	28533.553	1128.915	126.487	1169.599	122.085	0.942	0.940	0.884	0.953	0.887	0.965	0.035	0.965	0.749	3.78846148877315482E18	0.305	0.000	4515.661	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.079	0.927	4678.396	1.049	0.000	0.000
