Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
228	196	92.034	118.444	67.406	126.648	127.375	66.903	408172.449	6652.526	372.102	6968.740	319.954	0.777	0.727	0.528	0.525	0.604	0.955	0.045	0.860	0.779	3.7861656995997382E18	0.265	0.000	26610.103	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.879	0.532	27874.960	1.904
191	186	85.895	98.280	70.819	110.473	107.731	69.241	331814.969	5794.574	308.757	5965.246	288.290	0.874	0.778	0.605	0.643	0.764	0.971	0.029	0.934	0.741	2.635249153387079E18	0.230	0.000	23178.294	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.560	0.641	23860.984	1.556
297	229	85.894	97.582	70.322	118.154	110.998	67.372	331807.889	5794.490	306.562	6002.391	294.758	0.880	0.727	0.528	0.607	0.775	0.965	0.035	0.961	0.697	2.6530173311045984E18	0.188	0.000	23177.961	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.680	0.595	24009.563	1.648
239	199	84.850	91.409	73.863	101.011	99.267	73.340	319857.079	5654.508	287.169	5806.630	278.263	0.928	0.840	0.706	0.739	0.862	0.974	0.026	0.969	0.758	2.6352497042188013E18	0.205	0.000	22618.031	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.368	0.731	23226.518	1.354
157	179	83.809	95.951	65.466	111.691	111.963	65.021	308221.964	5516.537	301.440	5717.919	289.514	0.873	0.750	0.563	0.581	0.763	0.965	0.035	0.960	0.754	3.6440560908473658E18	0.240	0.000	22066.148	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.706	0.586	22871.675	1.722
180	184	83.536	92.030	70.516	104.557	102.873	68.739	305225.815	5480.729	289.122	5661.002	278.740	0.908	0.799	0.638	0.668	0.824	0.968	0.032	0.964	0.743	2.6352535515680742E18	0.218	0.000	21922.914	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.483	0.674	22644.009	1.497
186	186	82.242	91.960	70.897	100.928	99.057	71.721	291259.538	5312.238	288.900	5520.262	279.192	0.894	0.815	0.664	0.724	0.800	0.962	0.038	0.966	0.742	2.6375103766486851E18	0.200	0.000	21248.953	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.424	0.702	22081.047	1.381
99	168	81.902	100.621	62.664	109.946	108.036	62.193	287657.107	5268.345	316.109	5483.182	278.541	0.814	0.745	0.555	0.576	0.663	0.961	0.039	0.881	0.765	3.7881750646327686E18	0.261	0.000	21073.379	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.755	0.570	21932.727	1.737
140	176	81.896	107.146	67.296	103.403	101.772	66.710	287600.587	5267.655	336.608	5541.051	277.537	0.764	0.792	0.627	0.655	0.584	0.951	0.049	0.825	0.757	3.6620742666235174E18	0.263	0.000	21070.618	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.537	0.651	22164.203	1.526
