Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 
389	162	74.901	85.625	55.464	102.129	106.901	54.538	220017.612	4406.182	269.000	4631.523	262.916	0.875	0.733	0.538	0.510	0.765	0.951	0.049	0.977	0.778	2.6375053610478285E18	0.196	0.000	17624.727	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.841	0.543	18526.090	1.960
399	164	73.253	79.098	63.633	91.108	88.914	61.370	205812.332	4214.426	248.493	4298.542	242.817	0.926	0.804	0.646	0.690	0.858	0.980	0.020	0.977	0.727	2.7793995345953853E18	0.205	0.000	16857.704	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.432	0.698	17194.167	1.449
768	194	70.944	78.621	59.528	88.874	87.667	57.917	186958.240	3952.943	246.995	4051.817	235.764	0.902	0.798	0.637	0.661	0.814	0.976	0.024	0.955	0.747	2.7796860969443514E18	0.244	0.000	15811.773	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.493	0.670	16207.268	1.514
696	187	70.284	83.418	56.980	98.522	100.336	51.948	181793.008	3879.796	262.064	4163.245	251.373	0.843	0.713	0.509	0.518	0.710	0.932	0.068	0.959	0.691	2.6355306971000438E18	0.224	0.000	15519.184	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.729	0.578	16652.979	1.931
936	208	70.109	77.013	56.523	88.606	90.423	55.788	180432.309	3860.412	241.943	3975.031	237.037	0.910	0.791	0.626	0.617	0.829	0.971	0.029	0.980	0.771	2.6352800084342304E18	0.204	0.000	15441.648	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.568	0.638	15900.124	1.621
336	158	67.725	76.548	47.424	93.469	95.693	48.028	162646.819	3602.366	240.483	3666.959	233.599	0.885	0.725	0.525	0.502	0.783	0.982	0.018	0.971	0.813	2.6355307058263629E18	0.212	0.000	14409.464	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.971	0.507	14667.837	1.992
796	197	64.813	70.516	52.249	79.347	80.554	52.286	142556.640	3299.254	221.532	3371.225	214.065	0.919	0.817	0.667	0.649	0.845	0.979	0.021	0.966	0.796	2.6352497128257142E18	0.224	0.000	13197.015	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.519	0.658	13484.898	1.541
669	184	64.128	76.463	56.120	86.849	84.843	52.094	138082.587	3229.858	240.215	3584.948	225.938	0.839	0.738	0.545	0.614	0.703	0.901	0.099	0.941	0.663	2.6352536212457197E18	0.212	0.000	12919.432	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.548	0.646	14339.793	1.629
413	164	63.069	64.910	61.531	66.196	65.102	61.444	131354.354	3124.068	203.920	3161.991	201.216	0.972	0.953	0.908	0.944	0.944	0.988	0.012	0.987	0.767	2.6352536213634269E18	0.194	0.000	12496.271	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.076	0.930	12647.966	1.060
